tuh_downstream_smallset_tflayers12, freeze 4
Epoch 1, Train loss 0.7320 , Train Accuracy 0.5371, Test loss 0.7618, Test Accuracy 0.5448
Epoch 2, Train loss 0.6633 , Train Accuracy 0.5980, Test loss 0.7150, Test Accuracy 0.5806
Epoch 3, Train loss 0.6406 , Train Accuracy 0.6227, Test loss 0.7321, Test Accuracy 0.5732
Epoch 4, Train loss 0.6144 , Train Accuracy 0.6507, Test loss 0.7924, Test Accuracy 0.5627
Epoch 5, Train loss 0.6163 , Train Accuracy 0.6625, Test loss 0.9260, Test Accuracy 0.5838
Epoch 6, Train loss 0.5935 , Train Accuracy 0.6803, Test loss 0.7961, Test Accuracy 0.5954
Epoch 7, Train loss 0.5959 , Train Accuracy 0.6857, Test loss 0.8165, Test Accuracy 0.5991
Epoch 8, Train loss 0.5631 , Train Accuracy 0.7126, Test loss 1.0283, Test Accuracy 0.5364
Epoch 9, Train loss 0.5554 , Train Accuracy 0.6997, Test loss 1.0047, Test Accuracy 0.5474
Epoch 10, Train loss 0.5470 , Train Accuracy 0.7147, Test loss 0.9701, Test Accuracy 0.5669
Epoch 11, Train loss 0.5410 , Train Accuracy 0.7357, Test loss 0.9880, Test Accuracy 0.5706
Epoch 12, Train loss 0.5336 , Train Accuracy 0.7406, Test loss 0.8981, Test Accuracy 0.6106
Epoch 13, Train loss 0.5154 , Train Accuracy 0.7347, Test loss 1.0006, Test Accuracy 0.5827
Epoch 14, Train loss 0.5018 , Train Accuracy 0.7524, Test loss 1.0775, Test Accuracy 0.5690
Epoch 15, Train loss 0.5059 , Train Accuracy 0.7481, Test loss 1.0882, Test Accuracy 0.5764
Epoch 16, Train loss 0.4946 , Train Accuracy 0.7546, Test loss 1.3291, Test Accuracy 0.5485
Epoch 17, Train loss 0.4759 , Train Accuracy 0.7670, Test loss 1.0538, Test Accuracy 0.6259
Epoch 18, Train loss 0.4675 , Train Accuracy 0.7734, Test loss 1.0596, Test Accuracy 0.5991
Epoch 19, Train loss 0.4581 , Train Accuracy 0.7820, Test loss 1.0850, Test Accuracy 0.6117
Epoch 20, Train loss 0.4564 , Train Accuracy 0.7982, Test loss 1.0439, Test Accuracy 0.6233
Epoch 21, Train loss 0.4380 , Train Accuracy 0.7987, Test loss 1.0555, Test Accuracy 0.6259
Epoch 22, Train loss 0.4254 , Train Accuracy 0.8046, Test loss 1.0793, Test Accuracy 0.6338
Epoch 23, Train loss 0.4195 , Train Accuracy 0.8030, Test loss 1.1273, Test Accuracy 0.6333
Epoch 24, Train loss 0.4202 , Train Accuracy 0.8165, Test loss 1.1365, Test Accuracy 0.6375
Epoch 25, Train loss 0.3942 , Train Accuracy 0.8208, Test loss 1.4296, Test Accuracy 0.6085
Epoch 26, Train loss 0.3875 , Train Accuracy 0.8267, Test loss 1.2453, Test Accuracy 0.6412
Epoch 27, Train loss 0.3886 , Train Accuracy 0.8358, Test loss 1.2478, Test Accuracy 0.6354
Epoch 28, Train loss 0.3894 , Train Accuracy 0.8256, Test loss 1.3938, Test Accuracy 0.6354
Epoch 29, Train loss 0.3850 , Train Accuracy 0.8192, Test loss 1.5613, Test Accuracy 0.6243
Epoch 30, Train loss 0.3653 , Train Accuracy 0.8358, Test loss 1.6335, Test Accuracy 0.6291
Epoch 31, Train loss 0.3848 , Train Accuracy 0.8294, Test loss 1.4551, Test Accuracy 0.6328
Epoch 32, Train loss 0.3568 , Train Accuracy 0.8353, Test loss 1.6557, Test Accuracy 0.6275
Epoch 33, Train loss 0.3639 , Train Accuracy 0.8385, Test loss 2.0525, Test Accuracy 0.6128
Epoch 34, Train loss 0.3597 , Train Accuracy 0.8455, Test loss 1.7251, Test Accuracy 0.6291
Epoch 35, Train loss 0.3478 , Train Accuracy 0.8520, Test loss 1.6872, Test Accuracy 0.6322
Epoch 36, Train loss 0.3595 , Train Accuracy 0.8434, Test loss 1.6900, Test Accuracy 0.6328
Epoch 37, Train loss 0.3411 , Train Accuracy 0.8407, Test loss 1.6547, Test Accuracy 0.6375
Epoch 38, Train loss 0.3422 , Train Accuracy 0.8412, Test loss 2.0651, Test Accuracy 0.6228
Epoch 39, Train loss 0.3327 , Train Accuracy 0.8558, Test loss 1.5864, Test Accuracy 0.6407
Epoch 40, Train loss 0.3324 , Train Accuracy 0.8498, Test loss 1.7837, Test Accuracy 0.6354
Epoch 41, Train loss 0.3428 , Train Accuracy 0.8590, Test loss 1.9639, Test Accuracy 0.6238
Epoch 42, Train loss 0.3268 , Train Accuracy 0.8622, Test loss 2.1894, Test Accuracy 0.6196
Epoch 43, Train loss 0.3323 , Train Accuracy 0.8558, Test loss 2.2581, Test Accuracy 0.6159
Epoch 44, Train loss 0.3240 , Train Accuracy 0.8724, Test loss 1.6682, Test Accuracy 0.6391
Epoch 45, Train loss 0.3346 , Train Accuracy 0.8633, Test loss 1.5668, Test Accuracy 0.6396
Epoch 46, Train loss 0.3380 , Train Accuracy 0.8611, Test loss 1.6656, Test Accuracy 0.6359
Epoch 47, Train loss 0.3265 , Train Accuracy 0.8552, Test loss 2.0695, Test Accuracy 0.6243
Epoch 48, Train loss 0.3048 , Train Accuracy 0.8649, Test loss 2.4091, Test Accuracy 0.6112
Epoch 49, Train loss 0.3506 , Train Accuracy 0.8434, Test loss 1.9878, Test Accuracy 0.6243
Epoch 50, Train loss 0.3098 , Train Accuracy 0.8741, Test loss 2.1066, Test Accuracy 0.6201
