tuh_downstream_smallset_tflayers12, freeze 12
Epoch 1, Train loss 0.7322 , Train Accuracy 0.5377, Test loss 0.7632, Test Accuracy 0.5443
Epoch 2, Train loss 0.6638 , Train Accuracy 0.5969, Test loss 0.7183, Test Accuracy 0.5801
Epoch 3, Train loss 0.6421 , Train Accuracy 0.6211, Test loss 0.7423, Test Accuracy 0.5690
Epoch 4, Train loss 0.6169 , Train Accuracy 0.6512, Test loss 0.8057, Test Accuracy 0.5543
Epoch 5, Train loss 0.6199 , Train Accuracy 0.6572, Test loss 0.9231, Test Accuracy 0.5801
Epoch 6, Train loss 0.6000 , Train Accuracy 0.6712, Test loss 0.7828, Test Accuracy 0.5996
Epoch 7, Train loss 0.6024 , Train Accuracy 0.6760, Test loss 0.8037, Test Accuracy 0.6033
Epoch 8, Train loss 0.5691 , Train Accuracy 0.7040, Test loss 1.0136, Test Accuracy 0.5290
Epoch 9, Train loss 0.5632 , Train Accuracy 0.6991, Test loss 1.0046, Test Accuracy 0.5385
Epoch 10, Train loss 0.5550 , Train Accuracy 0.7115, Test loss 0.9722, Test Accuracy 0.5685
Epoch 11, Train loss 0.5487 , Train Accuracy 0.7336, Test loss 0.9699, Test Accuracy 0.5727
Epoch 12, Train loss 0.5432 , Train Accuracy 0.7330, Test loss 0.8835, Test Accuracy 0.6012
Epoch 13, Train loss 0.5236 , Train Accuracy 0.7255, Test loss 1.0047, Test Accuracy 0.5774
Epoch 14, Train loss 0.5084 , Train Accuracy 0.7443, Test loss 1.0697, Test Accuracy 0.5674
Epoch 15, Train loss 0.5154 , Train Accuracy 0.7470, Test loss 1.1166, Test Accuracy 0.5643
Epoch 16, Train loss 0.4993 , Train Accuracy 0.7546, Test loss 1.3648, Test Accuracy 0.5353
Epoch 17, Train loss 0.4817 , Train Accuracy 0.7686, Test loss 1.0184, Test Accuracy 0.6270
Epoch 18, Train loss 0.4760 , Train Accuracy 0.7670, Test loss 1.0943, Test Accuracy 0.5848
Epoch 19, Train loss 0.4659 , Train Accuracy 0.7734, Test loss 1.0895, Test Accuracy 0.6022
Epoch 20, Train loss 0.4638 , Train Accuracy 0.7858, Test loss 1.0547, Test Accuracy 0.6133
Epoch 21, Train loss 0.4452 , Train Accuracy 0.7966, Test loss 1.0605, Test Accuracy 0.6159
Epoch 22, Train loss 0.4395 , Train Accuracy 0.7949, Test loss 1.0645, Test Accuracy 0.6275
Epoch 23, Train loss 0.4389 , Train Accuracy 0.7928, Test loss 1.0939, Test Accuracy 0.6191
Epoch 24, Train loss 0.4372 , Train Accuracy 0.8052, Test loss 1.0860, Test Accuracy 0.6238
Epoch 25, Train loss 0.4156 , Train Accuracy 0.7992, Test loss 1.2704, Test Accuracy 0.5943
Epoch 26, Train loss 0.4116 , Train Accuracy 0.8143, Test loss 1.1530, Test Accuracy 0.6264
Epoch 27, Train loss 0.4156 , Train Accuracy 0.8154, Test loss 1.1553, Test Accuracy 0.6296
Epoch 28, Train loss 0.4135 , Train Accuracy 0.8127, Test loss 1.2489, Test Accuracy 0.6117
Epoch 29, Train loss 0.4026 , Train Accuracy 0.8143, Test loss 1.2881, Test Accuracy 0.6154
Epoch 30, Train loss 0.3919 , Train Accuracy 0.8219, Test loss 1.3755, Test Accuracy 0.6117
Epoch 31, Train loss 0.4134 , Train Accuracy 0.8143, Test loss 1.2883, Test Accuracy 0.6207
Epoch 32, Train loss 0.3774 , Train Accuracy 0.8294, Test loss 1.3852, Test Accuracy 0.6128
Epoch 33, Train loss 0.3942 , Train Accuracy 0.8224, Test loss 1.6793, Test Accuracy 0.5838
Epoch 34, Train loss 0.3772 , Train Accuracy 0.8288, Test loss 1.5202, Test Accuracy 0.6038
Epoch 35, Train loss 0.3775 , Train Accuracy 0.8348, Test loss 1.4557, Test Accuracy 0.6196
Epoch 36, Train loss 0.3869 , Train Accuracy 0.8181, Test loss 1.4630, Test Accuracy 0.6180
Epoch 37, Train loss 0.3661 , Train Accuracy 0.8299, Test loss 1.3980, Test Accuracy 0.6291
Epoch 38, Train loss 0.3758 , Train Accuracy 0.8149, Test loss 1.5755, Test Accuracy 0.6196
Epoch 39, Train loss 0.3544 , Train Accuracy 0.8525, Test loss 1.3836, Test Accuracy 0.6349
Epoch 40, Train loss 0.3569 , Train Accuracy 0.8353, Test loss 1.5183, Test Accuracy 0.6280
Epoch 41, Train loss 0.3684 , Train Accuracy 0.8461, Test loss 1.6318, Test Accuracy 0.6170
Epoch 42, Train loss 0.3458 , Train Accuracy 0.8450, Test loss 1.7743, Test Accuracy 0.6122
Epoch 43, Train loss 0.3515 , Train Accuracy 0.8445, Test loss 1.9004, Test Accuracy 0.5996
Epoch 44, Train loss 0.3538 , Train Accuracy 0.8482, Test loss 1.4889, Test Accuracy 0.6354
Epoch 45, Train loss 0.3552 , Train Accuracy 0.8434, Test loss 1.4420, Test Accuracy 0.6328
Epoch 46, Train loss 0.3628 , Train Accuracy 0.8461, Test loss 1.5267, Test Accuracy 0.6359
Epoch 47, Train loss 0.3434 , Train Accuracy 0.8428, Test loss 1.7283, Test Accuracy 0.6112
Epoch 48, Train loss 0.3327 , Train Accuracy 0.8461, Test loss 2.0342, Test Accuracy 0.5859
Epoch 49, Train loss 0.3657 , Train Accuracy 0.8391, Test loss 1.7235, Test Accuracy 0.6122
Epoch 50, Train loss 0.3348 , Train Accuracy 0.8558, Test loss 1.7678, Test Accuracy 0.6128
