tuh_downstream_smallset_tflayers12, freeze 0
Epoch 1, Train loss 0.7319 , Train Accuracy 0.5350, Test loss 0.7624, Test Accuracy 0.5427
Epoch 2, Train loss 0.6633 , Train Accuracy 0.5985, Test loss 0.7173, Test Accuracy 0.5827
Epoch 3, Train loss 0.6404 , Train Accuracy 0.6276, Test loss 0.7455, Test Accuracy 0.5722
Epoch 4, Train loss 0.6132 , Train Accuracy 0.6545, Test loss 0.8304, Test Accuracy 0.5522
Epoch 5, Train loss 0.6148 , Train Accuracy 0.6620, Test loss 0.9180, Test Accuracy 0.5811
Epoch 6, Train loss 0.5927 , Train Accuracy 0.6738, Test loss 0.8009, Test Accuracy 0.5975
Epoch 7, Train loss 0.5930 , Train Accuracy 0.6846, Test loss 0.8175, Test Accuracy 0.6091
Epoch 8, Train loss 0.5605 , Train Accuracy 0.7158, Test loss 1.0871, Test Accuracy 0.5237
Epoch 9, Train loss 0.5515 , Train Accuracy 0.6997, Test loss 1.0378, Test Accuracy 0.5437
Epoch 10, Train loss 0.5412 , Train Accuracy 0.7158, Test loss 1.0145, Test Accuracy 0.5601
Epoch 11, Train loss 0.5374 , Train Accuracy 0.7368, Test loss 1.0370, Test Accuracy 0.5595
Epoch 12, Train loss 0.5306 , Train Accuracy 0.7422, Test loss 0.9172, Test Accuracy 0.6059
Epoch 13, Train loss 0.5135 , Train Accuracy 0.7282, Test loss 1.0635, Test Accuracy 0.5680
Epoch 14, Train loss 0.4979 , Train Accuracy 0.7567, Test loss 1.1669, Test Accuracy 0.5574
Epoch 15, Train loss 0.5018 , Train Accuracy 0.7508, Test loss 1.1965, Test Accuracy 0.5648
Epoch 16, Train loss 0.4871 , Train Accuracy 0.7594, Test loss 1.4653, Test Accuracy 0.5390
Epoch 17, Train loss 0.4689 , Train Accuracy 0.7707, Test loss 0.9931, Test Accuracy 0.6338
Epoch 18, Train loss 0.4626 , Train Accuracy 0.7799, Test loss 1.1618, Test Accuracy 0.5969
Epoch 19, Train loss 0.4516 , Train Accuracy 0.7896, Test loss 1.1634, Test Accuracy 0.6054
Epoch 20, Train loss 0.4481 , Train Accuracy 0.7928, Test loss 1.0884, Test Accuracy 0.6201
Epoch 21, Train loss 0.4355 , Train Accuracy 0.7976, Test loss 1.1513, Test Accuracy 0.6122
Epoch 22, Train loss 0.4174 , Train Accuracy 0.8030, Test loss 1.1203, Test Accuracy 0.6322
Epoch 23, Train loss 0.4169 , Train Accuracy 0.8132, Test loss 1.1750, Test Accuracy 0.6307
Epoch 24, Train loss 0.4137 , Train Accuracy 0.8165, Test loss 1.1572, Test Accuracy 0.6365
Epoch 25, Train loss 0.3905 , Train Accuracy 0.8278, Test loss 1.4422, Test Accuracy 0.6233
Epoch 26, Train loss 0.3822 , Train Accuracy 0.8310, Test loss 1.2676, Test Accuracy 0.6386
Epoch 27, Train loss 0.3829 , Train Accuracy 0.8407, Test loss 1.2452, Test Accuracy 0.6444
Epoch 28, Train loss 0.3826 , Train Accuracy 0.8315, Test loss 1.4622, Test Accuracy 0.6338
Epoch 29, Train loss 0.3751 , Train Accuracy 0.8267, Test loss 1.6005, Test Accuracy 0.6344
Epoch 30, Train loss 0.3545 , Train Accuracy 0.8337, Test loss 1.6590, Test Accuracy 0.6328
Epoch 31, Train loss 0.3772 , Train Accuracy 0.8380, Test loss 1.4854, Test Accuracy 0.6380
Epoch 32, Train loss 0.3504 , Train Accuracy 0.8493, Test loss 1.7356, Test Accuracy 0.6270
Epoch 33, Train loss 0.3594 , Train Accuracy 0.8439, Test loss 2.1873, Test Accuracy 0.6180
Epoch 34, Train loss 0.3572 , Train Accuracy 0.8466, Test loss 1.9373, Test Accuracy 0.6275
Epoch 35, Train loss 0.3411 , Train Accuracy 0.8558, Test loss 1.9183, Test Accuracy 0.6333
Epoch 36, Train loss 0.3472 , Train Accuracy 0.8477, Test loss 1.8960, Test Accuracy 0.6386
Epoch 37, Train loss 0.3317 , Train Accuracy 0.8520, Test loss 1.8857, Test Accuracy 0.6433
Epoch 38, Train loss 0.3316 , Train Accuracy 0.8558, Test loss 2.4106, Test Accuracy 0.6212
Epoch 39, Train loss 0.3255 , Train Accuracy 0.8633, Test loss 1.7757, Test Accuracy 0.6454
Epoch 40, Train loss 0.3193 , Train Accuracy 0.8584, Test loss 1.9840, Test Accuracy 0.6401
Epoch 41, Train loss 0.3311 , Train Accuracy 0.8633, Test loss 2.1560, Test Accuracy 0.6317
Epoch 42, Train loss 0.3167 , Train Accuracy 0.8687, Test loss 2.5169, Test Accuracy 0.6238
Epoch 43, Train loss 0.3214 , Train Accuracy 0.8568, Test loss 2.4994, Test Accuracy 0.6207
Epoch 44, Train loss 0.3008 , Train Accuracy 0.8800, Test loss 1.9420, Test Accuracy 0.6401
Epoch 45, Train loss 0.3242 , Train Accuracy 0.8628, Test loss 1.7705, Test Accuracy 0.6396
Epoch 46, Train loss 0.3179 , Train Accuracy 0.8708, Test loss 1.9389, Test Accuracy 0.6391
Epoch 47, Train loss 0.3066 , Train Accuracy 0.8590, Test loss 2.3733, Test Accuracy 0.6322
Epoch 48, Train loss 0.2945 , Train Accuracy 0.8665, Test loss 2.8046, Test Accuracy 0.6159
Epoch 49, Train loss 0.3305 , Train Accuracy 0.8595, Test loss 2.3884, Test Accuracy 0.6291
Epoch 50, Train loss 0.2919 , Train Accuracy 0.8741, Test loss 2.3618, Test Accuracy 0.6312
