tuh_downstream_smallset_tflayers20, freeze 12
Epoch 1, Train loss 0.7370 , Train Accuracy 0.5899, Test loss 1.0060, Test Accuracy 0.5116
Epoch 2, Train loss 0.5963 , Train Accuracy 0.7013, Test loss 1.0893, Test Accuracy 0.5148
Epoch 3, Train loss 0.5592 , Train Accuracy 0.7126, Test loss 1.1571, Test Accuracy 0.5153
Epoch 4, Train loss 0.5231 , Train Accuracy 0.7406, Test loss 1.1622, Test Accuracy 0.5348
Epoch 5, Train loss 0.5199 , Train Accuracy 0.7503, Test loss 1.3224, Test Accuracy 0.5427
Epoch 6, Train loss 0.4906 , Train Accuracy 0.7567, Test loss 1.2256, Test Accuracy 0.5453
Epoch 7, Train loss 0.4979 , Train Accuracy 0.7621, Test loss 1.2491, Test Accuracy 0.5590
Epoch 8, Train loss 0.4691 , Train Accuracy 0.7836, Test loss 1.4874, Test Accuracy 0.5253
Epoch 9, Train loss 0.4593 , Train Accuracy 0.7960, Test loss 1.2993, Test Accuracy 0.5490
Epoch 10, Train loss 0.4388 , Train Accuracy 0.7955, Test loss 1.4708, Test Accuracy 0.5395
Epoch 11, Train loss 0.4331 , Train Accuracy 0.7901, Test loss 1.3025, Test Accuracy 0.5643
Epoch 12, Train loss 0.4397 , Train Accuracy 0.8025, Test loss 1.2623, Test Accuracy 0.5622
Epoch 13, Train loss 0.4234 , Train Accuracy 0.8009, Test loss 1.3438, Test Accuracy 0.5548
Epoch 14, Train loss 0.4093 , Train Accuracy 0.8084, Test loss 1.3179, Test Accuracy 0.5574
Epoch 15, Train loss 0.4173 , Train Accuracy 0.8132, Test loss 1.3666, Test Accuracy 0.5569
Epoch 16, Train loss 0.4193 , Train Accuracy 0.8095, Test loss 1.6088, Test Accuracy 0.5358
Epoch 17, Train loss 0.3868 , Train Accuracy 0.8192, Test loss 1.2615, Test Accuracy 0.5811
Epoch 18, Train loss 0.3889 , Train Accuracy 0.8326, Test loss 1.3624, Test Accuracy 0.5680
Epoch 19, Train loss 0.3990 , Train Accuracy 0.8192, Test loss 1.3817, Test Accuracy 0.5648
Epoch 20, Train loss 0.3764 , Train Accuracy 0.8337, Test loss 1.2893, Test Accuracy 0.5690
Epoch 21, Train loss 0.3754 , Train Accuracy 0.8342, Test loss 1.3075, Test Accuracy 0.5664
Epoch 22, Train loss 0.3697 , Train Accuracy 0.8380, Test loss 1.2862, Test Accuracy 0.5922
Epoch 23, Train loss 0.3513 , Train Accuracy 0.8541, Test loss 1.3447, Test Accuracy 0.5738
Epoch 24, Train loss 0.3535 , Train Accuracy 0.8358, Test loss 1.3353, Test Accuracy 0.5796
Epoch 25, Train loss 0.3568 , Train Accuracy 0.8509, Test loss 1.5140, Test Accuracy 0.5695
Epoch 26, Train loss 0.3557 , Train Accuracy 0.8450, Test loss 1.3393, Test Accuracy 0.5806
Epoch 27, Train loss 0.3781 , Train Accuracy 0.8385, Test loss 1.3071, Test Accuracy 0.5996
Epoch 28, Train loss 0.3638 , Train Accuracy 0.8515, Test loss 1.2946, Test Accuracy 0.5948
Epoch 29, Train loss 0.3396 , Train Accuracy 0.8584, Test loss 1.3661, Test Accuracy 0.5822
Epoch 30, Train loss 0.3408 , Train Accuracy 0.8482, Test loss 1.3492, Test Accuracy 0.5864
Epoch 31, Train loss 0.3491 , Train Accuracy 0.8445, Test loss 1.3597, Test Accuracy 0.5890
Epoch 32, Train loss 0.3336 , Train Accuracy 0.8606, Test loss 1.4285, Test Accuracy 0.5801
Epoch 33, Train loss 0.3448 , Train Accuracy 0.8477, Test loss 1.5472, Test Accuracy 0.5764
Epoch 34, Train loss 0.3302 , Train Accuracy 0.8601, Test loss 1.4829, Test Accuracy 0.5817
Epoch 35, Train loss 0.3343 , Train Accuracy 0.8579, Test loss 1.5606, Test Accuracy 0.5732
Epoch 36, Train loss 0.3332 , Train Accuracy 0.8552, Test loss 1.3825, Test Accuracy 0.5854
Epoch 37, Train loss 0.3205 , Train Accuracy 0.8574, Test loss 1.4467, Test Accuracy 0.5869
Epoch 38, Train loss 0.3255 , Train Accuracy 0.8601, Test loss 1.5957, Test Accuracy 0.5790
Epoch 39, Train loss 0.3123 , Train Accuracy 0.8665, Test loss 1.4086, Test Accuracy 0.6017
Epoch 40, Train loss 0.3173 , Train Accuracy 0.8746, Test loss 1.4079, Test Accuracy 0.6038
Epoch 41, Train loss 0.3276 , Train Accuracy 0.8611, Test loss 1.4650, Test Accuracy 0.5864
Epoch 42, Train loss 0.3177 , Train Accuracy 0.8654, Test loss 1.4338, Test Accuracy 0.5933
Epoch 43, Train loss 0.3059 , Train Accuracy 0.8692, Test loss 1.6714, Test Accuracy 0.5759
Epoch 44, Train loss 0.3281 , Train Accuracy 0.8681, Test loss 1.3946, Test Accuracy 0.6059
Epoch 45, Train loss 0.3080 , Train Accuracy 0.8773, Test loss 1.4038, Test Accuracy 0.6048
Epoch 46, Train loss 0.3114 , Train Accuracy 0.8676, Test loss 1.4230, Test Accuracy 0.6080
Epoch 47, Train loss 0.3084 , Train Accuracy 0.8741, Test loss 1.6938, Test Accuracy 0.5764
Epoch 48, Train loss 0.3010 , Train Accuracy 0.8724, Test loss 1.7755, Test Accuracy 0.5717
Epoch 49, Train loss 0.3029 , Train Accuracy 0.8741, Test loss 1.5985, Test Accuracy 0.5848
Epoch 50, Train loss 0.2945 , Train Accuracy 0.8805, Test loss 1.7547, Test Accuracy 0.5801
