tuh_downstream_smallset_tflayers16, freeze 8
Epoch 1, Train loss 0.7254 , Train Accuracy 0.5366, Test loss 0.8121, Test Accuracy 0.5253
Epoch 2, Train loss 0.6284 , Train Accuracy 0.6464, Test loss 0.7837, Test Accuracy 0.5601
Epoch 3, Train loss 0.5832 , Train Accuracy 0.6825, Test loss 0.8573, Test Accuracy 0.5501
Epoch 4, Train loss 0.5208 , Train Accuracy 0.7476, Test loss 0.9307, Test Accuracy 0.5685
Epoch 5, Train loss 0.4926 , Train Accuracy 0.7600, Test loss 1.0207, Test Accuracy 0.5896
Epoch 6, Train loss 0.4712 , Train Accuracy 0.7696, Test loss 0.9972, Test Accuracy 0.6054
Epoch 7, Train loss 0.4597 , Train Accuracy 0.7944, Test loss 1.0577, Test Accuracy 0.6059
Epoch 8, Train loss 0.4221 , Train Accuracy 0.8095, Test loss 1.2791, Test Accuracy 0.5653
Epoch 9, Train loss 0.4086 , Train Accuracy 0.8154, Test loss 1.1876, Test Accuracy 0.5901
Epoch 10, Train loss 0.3968 , Train Accuracy 0.8229, Test loss 1.4701, Test Accuracy 0.5627
Epoch 11, Train loss 0.3840 , Train Accuracy 0.8288, Test loss 1.2321, Test Accuracy 0.5969
Epoch 12, Train loss 0.3754 , Train Accuracy 0.8450, Test loss 1.2447, Test Accuracy 0.6001
Epoch 13, Train loss 0.3565 , Train Accuracy 0.8466, Test loss 1.3696, Test Accuracy 0.5890
Epoch 14, Train loss 0.3567 , Train Accuracy 0.8504, Test loss 1.4240, Test Accuracy 0.5790
Epoch 15, Train loss 0.3568 , Train Accuracy 0.8477, Test loss 1.5354, Test Accuracy 0.5717
Epoch 16, Train loss 0.3460 , Train Accuracy 0.8482, Test loss 1.7871, Test Accuracy 0.5648
Epoch 17, Train loss 0.3150 , Train Accuracy 0.8681, Test loss 1.3364, Test Accuracy 0.6207
Epoch 18, Train loss 0.3367 , Train Accuracy 0.8466, Test loss 1.6853, Test Accuracy 0.5738
Epoch 19, Train loss 0.3159 , Train Accuracy 0.8660, Test loss 1.5406, Test Accuracy 0.5890
Epoch 20, Train loss 0.3085 , Train Accuracy 0.8724, Test loss 1.3795, Test Accuracy 0.6180
Epoch 21, Train loss 0.3240 , Train Accuracy 0.8681, Test loss 1.4720, Test Accuracy 0.6006
Epoch 22, Train loss 0.2953 , Train Accuracy 0.8800, Test loss 1.3987, Test Accuracy 0.6196
Epoch 23, Train loss 0.2959 , Train Accuracy 0.8757, Test loss 1.4869, Test Accuracy 0.6112
Epoch 24, Train loss 0.3007 , Train Accuracy 0.8741, Test loss 1.5824, Test Accuracy 0.6022
Epoch 25, Train loss 0.2892 , Train Accuracy 0.8827, Test loss 1.7036, Test Accuracy 0.5875
Epoch 26, Train loss 0.2725 , Train Accuracy 0.8934, Test loss 1.5182, Test Accuracy 0.6128
Epoch 27, Train loss 0.2968 , Train Accuracy 0.8811, Test loss 1.4099, Test Accuracy 0.6128
Epoch 28, Train loss 0.2968 , Train Accuracy 0.8800, Test loss 1.4597, Test Accuracy 0.6191
Epoch 29, Train loss 0.2745 , Train Accuracy 0.8843, Test loss 1.7066, Test Accuracy 0.5996
Epoch 30, Train loss 0.2650 , Train Accuracy 0.8913, Test loss 1.7329, Test Accuracy 0.5975
Epoch 31, Train loss 0.2792 , Train Accuracy 0.8934, Test loss 1.7434, Test Accuracy 0.6001
Epoch 32, Train loss 0.2590 , Train Accuracy 0.8972, Test loss 1.7979, Test Accuracy 0.5922
Epoch 33, Train loss 0.2614 , Train Accuracy 0.8961, Test loss 1.8040, Test Accuracy 0.5959
Epoch 34, Train loss 0.2650 , Train Accuracy 0.8881, Test loss 1.8484, Test Accuracy 0.5838
Epoch 35, Train loss 0.2598 , Train Accuracy 0.8972, Test loss 1.7334, Test Accuracy 0.6054
Epoch 36, Train loss 0.2483 , Train Accuracy 0.9004, Test loss 1.8294, Test Accuracy 0.5954
Epoch 37, Train loss 0.2490 , Train Accuracy 0.8945, Test loss 1.7635, Test Accuracy 0.6085
Epoch 38, Train loss 0.2498 , Train Accuracy 0.8956, Test loss 2.0959, Test Accuracy 0.5869
Epoch 39, Train loss 0.2352 , Train Accuracy 0.9123, Test loss 1.8112, Test Accuracy 0.6106
Epoch 40, Train loss 0.2448 , Train Accuracy 0.8988, Test loss 1.7245, Test Accuracy 0.6133
Epoch 41, Train loss 0.2348 , Train Accuracy 0.9080, Test loss 1.8369, Test Accuracy 0.6085
Epoch 42, Train loss 0.2407 , Train Accuracy 0.9037, Test loss 1.8468, Test Accuracy 0.6117
Epoch 43, Train loss 0.2283 , Train Accuracy 0.9117, Test loss 2.1302, Test Accuracy 0.5964
Epoch 44, Train loss 0.2326 , Train Accuracy 0.9187, Test loss 1.6755, Test Accuracy 0.6254
Epoch 45, Train loss 0.2322 , Train Accuracy 0.9080, Test loss 1.7241, Test Accuracy 0.6128
Epoch 46, Train loss 0.2396 , Train Accuracy 0.8988, Test loss 1.9419, Test Accuracy 0.6075
Epoch 47, Train loss 0.2334 , Train Accuracy 0.9085, Test loss 2.2836, Test Accuracy 0.5927
Epoch 48, Train loss 0.2130 , Train Accuracy 0.9160, Test loss 2.4321, Test Accuracy 0.5875
Epoch 49, Train loss 0.2258 , Train Accuracy 0.9096, Test loss 2.1666, Test Accuracy 0.5980
Epoch 50, Train loss 0.2122 , Train Accuracy 0.9155, Test loss 2.4834, Test Accuracy 0.5859
