tuh_downstream_smallset_tflayers12, freeze 8
Epoch 1, Train loss 0.7321 , Train Accuracy 0.5388, Test loss 0.7643, Test Accuracy 0.5427
Epoch 2, Train loss 0.6639 , Train Accuracy 0.5980, Test loss 0.7138, Test Accuracy 0.5854
Epoch 3, Train loss 0.6423 , Train Accuracy 0.6222, Test loss 0.7278, Test Accuracy 0.5717
Epoch 4, Train loss 0.6163 , Train Accuracy 0.6507, Test loss 0.7822, Test Accuracy 0.5601
Epoch 5, Train loss 0.6199 , Train Accuracy 0.6609, Test loss 0.9118, Test Accuracy 0.5854
Epoch 6, Train loss 0.6012 , Train Accuracy 0.6690, Test loss 0.7842, Test Accuracy 0.5917
Epoch 7, Train loss 0.6023 , Train Accuracy 0.6717, Test loss 0.7989, Test Accuracy 0.5985
Epoch 8, Train loss 0.5679 , Train Accuracy 0.7099, Test loss 1.0460, Test Accuracy 0.5258
Epoch 9, Train loss 0.5652 , Train Accuracy 0.6954, Test loss 0.9959, Test Accuracy 0.5411
Epoch 10, Train loss 0.5538 , Train Accuracy 0.7083, Test loss 0.9725, Test Accuracy 0.5732
Epoch 11, Train loss 0.5483 , Train Accuracy 0.7287, Test loss 0.9773, Test Accuracy 0.5753
Epoch 12, Train loss 0.5439 , Train Accuracy 0.7266, Test loss 0.8910, Test Accuracy 0.6022
Epoch 13, Train loss 0.5254 , Train Accuracy 0.7234, Test loss 1.0054, Test Accuracy 0.5753
Epoch 14, Train loss 0.5096 , Train Accuracy 0.7503, Test loss 1.0829, Test Accuracy 0.5659
Epoch 15, Train loss 0.5125 , Train Accuracy 0.7417, Test loss 1.1147, Test Accuracy 0.5690
Epoch 16, Train loss 0.4983 , Train Accuracy 0.7573, Test loss 1.3811, Test Accuracy 0.5421
Epoch 17, Train loss 0.4778 , Train Accuracy 0.7686, Test loss 1.0217, Test Accuracy 0.6270
Epoch 18, Train loss 0.4739 , Train Accuracy 0.7734, Test loss 1.1315, Test Accuracy 0.5838
Epoch 19, Train loss 0.4631 , Train Accuracy 0.7772, Test loss 1.1117, Test Accuracy 0.5943
Epoch 20, Train loss 0.4617 , Train Accuracy 0.7836, Test loss 1.0870, Test Accuracy 0.6043
Epoch 21, Train loss 0.4452 , Train Accuracy 0.7874, Test loss 1.0928, Test Accuracy 0.6091
Epoch 22, Train loss 0.4371 , Train Accuracy 0.7998, Test loss 1.1077, Test Accuracy 0.6249
Epoch 23, Train loss 0.4347 , Train Accuracy 0.8025, Test loss 1.1502, Test Accuracy 0.6170
Epoch 24, Train loss 0.4325 , Train Accuracy 0.8052, Test loss 1.1503, Test Accuracy 0.6243
Epoch 25, Train loss 0.4108 , Train Accuracy 0.8138, Test loss 1.4010, Test Accuracy 0.5869
Epoch 26, Train loss 0.4050 , Train Accuracy 0.8116, Test loss 1.2218, Test Accuracy 0.6201
Epoch 27, Train loss 0.4125 , Train Accuracy 0.8186, Test loss 1.1875, Test Accuracy 0.6365
Epoch 28, Train loss 0.4039 , Train Accuracy 0.8170, Test loss 1.2847, Test Accuracy 0.6212
Epoch 29, Train loss 0.3937 , Train Accuracy 0.8159, Test loss 1.3217, Test Accuracy 0.6207
Epoch 30, Train loss 0.3884 , Train Accuracy 0.8245, Test loss 1.3813, Test Accuracy 0.6133
Epoch 31, Train loss 0.4029 , Train Accuracy 0.8235, Test loss 1.2988, Test Accuracy 0.6254
Epoch 32, Train loss 0.3729 , Train Accuracy 0.8385, Test loss 1.4002, Test Accuracy 0.6207
Epoch 33, Train loss 0.3869 , Train Accuracy 0.8245, Test loss 1.6234, Test Accuracy 0.5964
Epoch 34, Train loss 0.3703 , Train Accuracy 0.8423, Test loss 1.5142, Test Accuracy 0.6106
Epoch 35, Train loss 0.3733 , Train Accuracy 0.8412, Test loss 1.4528, Test Accuracy 0.6296
Epoch 36, Train loss 0.3774 , Train Accuracy 0.8299, Test loss 1.4640, Test Accuracy 0.6275
Epoch 37, Train loss 0.3583 , Train Accuracy 0.8391, Test loss 1.4247, Test Accuracy 0.6349
Epoch 38, Train loss 0.3612 , Train Accuracy 0.8294, Test loss 1.6360, Test Accuracy 0.6328
Epoch 39, Train loss 0.3478 , Train Accuracy 0.8520, Test loss 1.4219, Test Accuracy 0.6354
Epoch 40, Train loss 0.3476 , Train Accuracy 0.8423, Test loss 1.5362, Test Accuracy 0.6359
Epoch 41, Train loss 0.3591 , Train Accuracy 0.8477, Test loss 1.6779, Test Accuracy 0.6275
Epoch 42, Train loss 0.3359 , Train Accuracy 0.8520, Test loss 1.7484, Test Accuracy 0.6291
Epoch 43, Train loss 0.3430 , Train Accuracy 0.8509, Test loss 1.8542, Test Accuracy 0.6133
Epoch 44, Train loss 0.3395 , Train Accuracy 0.8584, Test loss 1.4759, Test Accuracy 0.6401
Epoch 45, Train loss 0.3514 , Train Accuracy 0.8525, Test loss 1.4752, Test Accuracy 0.6438
Epoch 46, Train loss 0.3519 , Train Accuracy 0.8531, Test loss 1.4950, Test Accuracy 0.6396
Epoch 47, Train loss 0.3387 , Train Accuracy 0.8482, Test loss 1.7189, Test Accuracy 0.6333
Epoch 48, Train loss 0.3259 , Train Accuracy 0.8584, Test loss 2.0556, Test Accuracy 0.5975
Epoch 49, Train loss 0.3610 , Train Accuracy 0.8439, Test loss 1.7618, Test Accuracy 0.6259
Epoch 50, Train loss 0.3179 , Train Accuracy 0.8665, Test loss 1.9727, Test Accuracy 0.6133
