tuh_downstream_smallset_tflayers20, freeze 0
Epoch 1, Train loss 0.7368 , Train Accuracy 0.5899, Test loss 1.0044, Test Accuracy 0.5132
Epoch 2, Train loss 0.5950 , Train Accuracy 0.7024, Test loss 1.0887, Test Accuracy 0.5169
Epoch 3, Train loss 0.5555 , Train Accuracy 0.7147, Test loss 1.1570, Test Accuracy 0.5163
Epoch 4, Train loss 0.5159 , Train Accuracy 0.7465, Test loss 1.1620, Test Accuracy 0.5385
Epoch 5, Train loss 0.5055 , Train Accuracy 0.7616, Test loss 1.2982, Test Accuracy 0.5479
Epoch 6, Train loss 0.4746 , Train Accuracy 0.7723, Test loss 1.2397, Test Accuracy 0.5522
Epoch 7, Train loss 0.4707 , Train Accuracy 0.7885, Test loss 1.2764, Test Accuracy 0.5648
Epoch 8, Train loss 0.4426 , Train Accuracy 0.7992, Test loss 1.6144, Test Accuracy 0.5290
Epoch 9, Train loss 0.4280 , Train Accuracy 0.8149, Test loss 1.3869, Test Accuracy 0.5638
Epoch 10, Train loss 0.4033 , Train Accuracy 0.8186, Test loss 1.6781, Test Accuracy 0.5479
Epoch 11, Train loss 0.3901 , Train Accuracy 0.8208, Test loss 1.4473, Test Accuracy 0.5727
Epoch 12, Train loss 0.3941 , Train Accuracy 0.8305, Test loss 1.4421, Test Accuracy 0.5717
Epoch 13, Train loss 0.3733 , Train Accuracy 0.8402, Test loss 1.5811, Test Accuracy 0.5674
Epoch 14, Train loss 0.3558 , Train Accuracy 0.8450, Test loss 1.6598, Test Accuracy 0.5690
Epoch 15, Train loss 0.3685 , Train Accuracy 0.8493, Test loss 1.7728, Test Accuracy 0.5669
Epoch 16, Train loss 0.3526 , Train Accuracy 0.8531, Test loss 1.9177, Test Accuracy 0.5606
Epoch 17, Train loss 0.3222 , Train Accuracy 0.8611, Test loss 1.6361, Test Accuracy 0.5848
Epoch 18, Train loss 0.3206 , Train Accuracy 0.8649, Test loss 1.9089, Test Accuracy 0.5774
Epoch 19, Train loss 0.3283 , Train Accuracy 0.8622, Test loss 1.9363, Test Accuracy 0.5738
Epoch 20, Train loss 0.3073 , Train Accuracy 0.8735, Test loss 1.9776, Test Accuracy 0.5727
Epoch 21, Train loss 0.2975 , Train Accuracy 0.8741, Test loss 1.9879, Test Accuracy 0.5806
Epoch 22, Train loss 0.2973 , Train Accuracy 0.8741, Test loss 1.9314, Test Accuracy 0.5927
Epoch 23, Train loss 0.2773 , Train Accuracy 0.8832, Test loss 2.1290, Test Accuracy 0.5848
Epoch 24, Train loss 0.2812 , Train Accuracy 0.8805, Test loss 2.3717, Test Accuracy 0.5854
Epoch 25, Train loss 0.2807 , Train Accuracy 0.8961, Test loss 3.1869, Test Accuracy 0.5669
Epoch 26, Train loss 0.2739 , Train Accuracy 0.8907, Test loss 2.2845, Test Accuracy 0.5859
Epoch 27, Train loss 0.2933 , Train Accuracy 0.8864, Test loss 2.0194, Test Accuracy 0.5927
Epoch 28, Train loss 0.2842 , Train Accuracy 0.8859, Test loss 2.2632, Test Accuracy 0.5880
Epoch 29, Train loss 0.2603 , Train Accuracy 0.8999, Test loss 3.7350, Test Accuracy 0.5748
Epoch 30, Train loss 0.2479 , Train Accuracy 0.8994, Test loss 3.7029, Test Accuracy 0.5780
Epoch 31, Train loss 0.2726 , Train Accuracy 0.8934, Test loss 3.1557, Test Accuracy 0.5748
Epoch 32, Train loss 0.2542 , Train Accuracy 0.8994, Test loss 3.2545, Test Accuracy 0.5727
Epoch 33, Train loss 0.2523 , Train Accuracy 0.8924, Test loss 3.8959, Test Accuracy 0.5801
Epoch 34, Train loss 0.2412 , Train Accuracy 0.9053, Test loss 3.8943, Test Accuracy 0.5738
Epoch 35, Train loss 0.2394 , Train Accuracy 0.9064, Test loss 3.4603, Test Accuracy 0.5732
Epoch 36, Train loss 0.2355 , Train Accuracy 0.9085, Test loss 4.0240, Test Accuracy 0.5753
Epoch 37, Train loss 0.2392 , Train Accuracy 0.9074, Test loss 3.9498, Test Accuracy 0.5727
Epoch 38, Train loss 0.2359 , Train Accuracy 0.9085, Test loss 4.8201, Test Accuracy 0.5732
Epoch 39, Train loss 0.2233 , Train Accuracy 0.9085, Test loss 4.0351, Test Accuracy 0.5753
Epoch 40, Train loss 0.2362 , Train Accuracy 0.9085, Test loss 3.9678, Test Accuracy 0.5738
Epoch 41, Train loss 0.2364 , Train Accuracy 0.9133, Test loss 4.5037, Test Accuracy 0.5727
Epoch 42, Train loss 0.2250 , Train Accuracy 0.9133, Test loss 4.8924, Test Accuracy 0.5722
Epoch 43, Train loss 0.2180 , Train Accuracy 0.9198, Test loss 4.9381, Test Accuracy 0.5753
Epoch 44, Train loss 0.2207 , Train Accuracy 0.9080, Test loss 4.3157, Test Accuracy 0.5774
Epoch 45, Train loss 0.2225 , Train Accuracy 0.9150, Test loss 4.4793, Test Accuracy 0.5796
Epoch 46, Train loss 0.2286 , Train Accuracy 0.9139, Test loss 3.4337, Test Accuracy 0.5774
Epoch 47, Train loss 0.2110 , Train Accuracy 0.9182, Test loss 6.0028, Test Accuracy 0.5659
Epoch 48, Train loss 0.2023 , Train Accuracy 0.9128, Test loss 6.8759, Test Accuracy 0.5616
Epoch 49, Train loss 0.2156 , Train Accuracy 0.9198, Test loss 5.5755, Test Accuracy 0.5690
Epoch 50, Train loss 0.1987 , Train Accuracy 0.9273, Test loss 6.1320, Test Accuracy 0.5695
