tuh_downstream_smallset_tflayers16, freeze 0
Epoch 1, Train loss 0.7254 , Train Accuracy 0.5366, Test loss 0.8109, Test Accuracy 0.5263
Epoch 2, Train loss 0.6278 , Train Accuracy 0.6480, Test loss 0.7853, Test Accuracy 0.5611
Epoch 3, Train loss 0.5793 , Train Accuracy 0.6857, Test loss 0.8678, Test Accuracy 0.5527
Epoch 4, Train loss 0.5110 , Train Accuracy 0.7594, Test loss 0.9509, Test Accuracy 0.5785
Epoch 5, Train loss 0.4730 , Train Accuracy 0.7766, Test loss 1.0326, Test Accuracy 0.5964
Epoch 6, Train loss 0.4476 , Train Accuracy 0.7939, Test loss 1.0223, Test Accuracy 0.6154
Epoch 7, Train loss 0.4312 , Train Accuracy 0.8159, Test loss 1.1172, Test Accuracy 0.6106
Epoch 8, Train loss 0.3971 , Train Accuracy 0.8256, Test loss 1.4375, Test Accuracy 0.5748
Epoch 9, Train loss 0.3805 , Train Accuracy 0.8326, Test loss 1.2285, Test Accuracy 0.6085
Epoch 10, Train loss 0.3644 , Train Accuracy 0.8455, Test loss 1.6365, Test Accuracy 0.5722
Epoch 11, Train loss 0.3520 , Train Accuracy 0.8541, Test loss 1.3481, Test Accuracy 0.6080
Epoch 12, Train loss 0.3477 , Train Accuracy 0.8547, Test loss 1.3439, Test Accuracy 0.6080
Epoch 13, Train loss 0.3228 , Train Accuracy 0.8644, Test loss 1.5133, Test Accuracy 0.6091
Epoch 14, Train loss 0.3231 , Train Accuracy 0.8633, Test loss 1.5621, Test Accuracy 0.6054
Epoch 15, Train loss 0.3170 , Train Accuracy 0.8676, Test loss 1.6928, Test Accuracy 0.6054
Epoch 16, Train loss 0.3084 , Train Accuracy 0.8784, Test loss 2.0035, Test Accuracy 0.5848
Epoch 17, Train loss 0.2725 , Train Accuracy 0.8897, Test loss 1.5803, Test Accuracy 0.6207
Epoch 18, Train loss 0.2985 , Train Accuracy 0.8751, Test loss 2.1676, Test Accuracy 0.5838
Epoch 19, Train loss 0.2703 , Train Accuracy 0.8907, Test loss 2.1233, Test Accuracy 0.6048
Epoch 20, Train loss 0.2662 , Train Accuracy 0.8994, Test loss 1.9370, Test Accuracy 0.6096
Epoch 21, Train loss 0.2849 , Train Accuracy 0.8886, Test loss 2.0035, Test Accuracy 0.6048
Epoch 22, Train loss 0.2485 , Train Accuracy 0.8988, Test loss 1.9295, Test Accuracy 0.6143
Epoch 23, Train loss 0.2510 , Train Accuracy 0.9064, Test loss 2.0310, Test Accuracy 0.6106
Epoch 24, Train loss 0.2464 , Train Accuracy 0.9037, Test loss 2.1990, Test Accuracy 0.6075
Epoch 25, Train loss 0.2483 , Train Accuracy 0.8988, Test loss 2.3844, Test Accuracy 0.5938
Epoch 26, Train loss 0.2237 , Train Accuracy 0.9177, Test loss 2.0155, Test Accuracy 0.6159
Epoch 27, Train loss 0.2414 , Train Accuracy 0.9047, Test loss 1.7447, Test Accuracy 0.6201
Epoch 28, Train loss 0.2367 , Train Accuracy 0.9058, Test loss 2.0855, Test Accuracy 0.6101
Epoch 29, Train loss 0.2234 , Train Accuracy 0.9101, Test loss 2.7374, Test Accuracy 0.5996
Epoch 30, Train loss 0.2137 , Train Accuracy 0.9198, Test loss 2.7130, Test Accuracy 0.6001
Epoch 31, Train loss 0.2274 , Train Accuracy 0.9155, Test loss 2.7619, Test Accuracy 0.6012
Epoch 32, Train loss 0.2127 , Train Accuracy 0.9182, Test loss 2.6774, Test Accuracy 0.6012
Epoch 33, Train loss 0.2038 , Train Accuracy 0.9198, Test loss 2.7401, Test Accuracy 0.6022
Epoch 34, Train loss 0.2123 , Train Accuracy 0.9203, Test loss 2.9860, Test Accuracy 0.6012
Epoch 35, Train loss 0.2124 , Train Accuracy 0.9225, Test loss 2.2552, Test Accuracy 0.6091
Epoch 36, Train loss 0.1969 , Train Accuracy 0.9257, Test loss 3.4071, Test Accuracy 0.5933
Epoch 37, Train loss 0.1936 , Train Accuracy 0.9236, Test loss 2.7272, Test Accuracy 0.6048
Epoch 38, Train loss 0.1963 , Train Accuracy 0.9268, Test loss 3.7610, Test Accuracy 0.5933
Epoch 39, Train loss 0.1839 , Train Accuracy 0.9300, Test loss 2.8339, Test Accuracy 0.6064
Epoch 40, Train loss 0.1939 , Train Accuracy 0.9257, Test loss 2.6654, Test Accuracy 0.6080
Epoch 41, Train loss 0.1791 , Train Accuracy 0.9338, Test loss 3.3063, Test Accuracy 0.6022
Epoch 42, Train loss 0.1975 , Train Accuracy 0.9290, Test loss 3.7769, Test Accuracy 0.6001
Epoch 43, Train loss 0.1795 , Train Accuracy 0.9349, Test loss 3.3945, Test Accuracy 0.5985
Epoch 44, Train loss 0.1816 , Train Accuracy 0.9343, Test loss 2.6808, Test Accuracy 0.6101
Epoch 45, Train loss 0.1836 , Train Accuracy 0.9327, Test loss 3.3775, Test Accuracy 0.6033
Epoch 46, Train loss 0.1823 , Train Accuracy 0.9322, Test loss 3.7062, Test Accuracy 0.6033
Epoch 47, Train loss 0.1817 , Train Accuracy 0.9354, Test loss 4.0711, Test Accuracy 0.5938
Epoch 48, Train loss 0.1647 , Train Accuracy 0.9397, Test loss 5.1333, Test Accuracy 0.5885
Epoch 49, Train loss 0.1721 , Train Accuracy 0.9322, Test loss 3.8948, Test Accuracy 0.6006
Epoch 50, Train loss 0.1634 , Train Accuracy 0.9370, Test loss 4.3223, Test Accuracy 0.5933
