tuh_downstream_smallset_tflayers16, freeze 4
Epoch 1, Train loss 0.7254 , Train Accuracy 0.5377, Test loss 0.8116, Test Accuracy 0.5269
Epoch 2, Train loss 0.6280 , Train Accuracy 0.6485, Test loss 0.7852, Test Accuracy 0.5611
Epoch 3, Train loss 0.5812 , Train Accuracy 0.6851, Test loss 0.8636, Test Accuracy 0.5501
Epoch 4, Train loss 0.5168 , Train Accuracy 0.7503, Test loss 0.9392, Test Accuracy 0.5738
Epoch 5, Train loss 0.4842 , Train Accuracy 0.7670, Test loss 1.0223, Test Accuracy 0.5911
Epoch 6, Train loss 0.4589 , Train Accuracy 0.7799, Test loss 1.0095, Test Accuracy 0.6112
Epoch 7, Train loss 0.4450 , Train Accuracy 0.8025, Test loss 1.0804, Test Accuracy 0.6085
Epoch 8, Train loss 0.4081 , Train Accuracy 0.8208, Test loss 1.3434, Test Accuracy 0.5738
Epoch 9, Train loss 0.3909 , Train Accuracy 0.8272, Test loss 1.1971, Test Accuracy 0.6054
Epoch 10, Train loss 0.3781 , Train Accuracy 0.8391, Test loss 1.5475, Test Accuracy 0.5759
Epoch 11, Train loss 0.3632 , Train Accuracy 0.8536, Test loss 1.2708, Test Accuracy 0.6101
Epoch 12, Train loss 0.3576 , Train Accuracy 0.8493, Test loss 1.2815, Test Accuracy 0.6122
Epoch 13, Train loss 0.3337 , Train Accuracy 0.8595, Test loss 1.4216, Test Accuracy 0.6080
Epoch 14, Train loss 0.3373 , Train Accuracy 0.8595, Test loss 1.4307, Test Accuracy 0.5927
Epoch 15, Train loss 0.3329 , Train Accuracy 0.8568, Test loss 1.6328, Test Accuracy 0.5959
Epoch 16, Train loss 0.3236 , Train Accuracy 0.8708, Test loss 1.8365, Test Accuracy 0.5848
Epoch 17, Train loss 0.2901 , Train Accuracy 0.8837, Test loss 1.4393, Test Accuracy 0.6275
Epoch 18, Train loss 0.3162 , Train Accuracy 0.8654, Test loss 1.8323, Test Accuracy 0.5943
Epoch 19, Train loss 0.2892 , Train Accuracy 0.8778, Test loss 1.7337, Test Accuracy 0.6059
Epoch 20, Train loss 0.2822 , Train Accuracy 0.8843, Test loss 1.5997, Test Accuracy 0.6228
Epoch 21, Train loss 0.3012 , Train Accuracy 0.8773, Test loss 1.8084, Test Accuracy 0.6017
Epoch 22, Train loss 0.2675 , Train Accuracy 0.8972, Test loss 1.6340, Test Accuracy 0.6217
Epoch 23, Train loss 0.2707 , Train Accuracy 0.9004, Test loss 1.6578, Test Accuracy 0.6207
Epoch 24, Train loss 0.2652 , Train Accuracy 0.8940, Test loss 1.8550, Test Accuracy 0.6112
Epoch 25, Train loss 0.2701 , Train Accuracy 0.8875, Test loss 2.1211, Test Accuracy 0.5938
Epoch 26, Train loss 0.2444 , Train Accuracy 0.9085, Test loss 1.7713, Test Accuracy 0.6228
Epoch 27, Train loss 0.2627 , Train Accuracy 0.8972, Test loss 1.5320, Test Accuracy 0.6286
Epoch 28, Train loss 0.2537 , Train Accuracy 0.9037, Test loss 1.7745, Test Accuracy 0.6238
Epoch 29, Train loss 0.2464 , Train Accuracy 0.9004, Test loss 2.2456, Test Accuracy 0.6017
Epoch 30, Train loss 0.2339 , Train Accuracy 0.9096, Test loss 2.3043, Test Accuracy 0.6033
Epoch 31, Train loss 0.2492 , Train Accuracy 0.9085, Test loss 2.2972, Test Accuracy 0.6048
Epoch 32, Train loss 0.2298 , Train Accuracy 0.9101, Test loss 2.2466, Test Accuracy 0.6059
Epoch 33, Train loss 0.2303 , Train Accuracy 0.9107, Test loss 2.2148, Test Accuracy 0.6096
Epoch 34, Train loss 0.2303 , Train Accuracy 0.9155, Test loss 2.3364, Test Accuracy 0.6001
Epoch 35, Train loss 0.2297 , Train Accuracy 0.9101, Test loss 2.0763, Test Accuracy 0.6080
Epoch 36, Train loss 0.2163 , Train Accuracy 0.9160, Test loss 2.4086, Test Accuracy 0.5959
Epoch 37, Train loss 0.2144 , Train Accuracy 0.9150, Test loss 2.3013, Test Accuracy 0.6080
Epoch 38, Train loss 0.2166 , Train Accuracy 0.9209, Test loss 2.8038, Test Accuracy 0.5933
Epoch 39, Train loss 0.2045 , Train Accuracy 0.9198, Test loss 2.2077, Test Accuracy 0.6180
Epoch 40, Train loss 0.2114 , Train Accuracy 0.9198, Test loss 2.1782, Test Accuracy 0.6180
Epoch 41, Train loss 0.1979 , Train Accuracy 0.9171, Test loss 2.3923, Test Accuracy 0.6106
Epoch 42, Train loss 0.2129 , Train Accuracy 0.9214, Test loss 2.4956, Test Accuracy 0.6059
Epoch 43, Train loss 0.1944 , Train Accuracy 0.9338, Test loss 2.6184, Test Accuracy 0.6022
Epoch 44, Train loss 0.2011 , Train Accuracy 0.9306, Test loss 2.2431, Test Accuracy 0.6212
Epoch 45, Train loss 0.2014 , Train Accuracy 0.9284, Test loss 2.4762, Test Accuracy 0.6059
Epoch 46, Train loss 0.1992 , Train Accuracy 0.9193, Test loss 2.3853, Test Accuracy 0.6164
Epoch 47, Train loss 0.1987 , Train Accuracy 0.9273, Test loss 3.2498, Test Accuracy 0.5959
Epoch 48, Train loss 0.1807 , Train Accuracy 0.9365, Test loss 3.8166, Test Accuracy 0.5890
Epoch 49, Train loss 0.1875 , Train Accuracy 0.9306, Test loss 2.9770, Test Accuracy 0.5969
Epoch 50, Train loss 0.1807 , Train Accuracy 0.9316, Test loss 3.3700, Test Accuracy 0.5933
