tuh_downstream_smallset_tflayers16, freeze 0
Epoch 1, Train loss 0.7277 , Train Accuracy 0.5394, Test loss 0.7150, Test Accuracy 0.5595
Epoch 2, Train loss 0.6795 , Train Accuracy 0.5957, Test loss 0.7246, Test Accuracy 0.5875
Epoch 3, Train loss 0.6439 , Train Accuracy 0.6273, Test loss 0.9114, Test Accuracy 0.5501
Epoch 4, Train loss 0.6270 , Train Accuracy 0.6375, Test loss 0.7635, Test Accuracy 0.5917
Epoch 5, Train loss 0.6079 , Train Accuracy 0.6617, Test loss 0.9209, Test Accuracy 0.5285
Epoch 6, Train loss 0.5863 , Train Accuracy 0.6842, Test loss 0.7779, Test Accuracy 0.5796
Epoch 7, Train loss 0.5712 , Train Accuracy 0.6869, Test loss 0.9330, Test Accuracy 0.5448
Epoch 8, Train loss 0.5526 , Train Accuracy 0.6976, Test loss 0.8084, Test Accuracy 0.6027
Epoch 9, Train loss 0.5480 , Train Accuracy 0.7035, Test loss 0.8893, Test Accuracy 0.5674
Epoch 10, Train loss 0.5343 , Train Accuracy 0.7126, Test loss 0.8401, Test Accuracy 0.5980
Epoch 11, Train loss 0.5275 , Train Accuracy 0.7147, Test loss 0.8644, Test Accuracy 0.5854
Epoch 12, Train loss 0.5225 , Train Accuracy 0.7351, Test loss 0.8424, Test Accuracy 0.6149
Epoch 13, Train loss 0.5173 , Train Accuracy 0.7373, Test loss 0.9033, Test Accuracy 0.5901
Epoch 14, Train loss 0.5065 , Train Accuracy 0.7394, Test loss 0.8178, Test Accuracy 0.6259
Epoch 15, Train loss 0.4988 , Train Accuracy 0.7389, Test loss 0.9902, Test Accuracy 0.5801
Epoch 16, Train loss 0.4842 , Train Accuracy 0.7437, Test loss 0.8412, Test Accuracy 0.6159
Epoch 17, Train loss 0.4830 , Train Accuracy 0.7512, Test loss 0.8577, Test Accuracy 0.6133
Epoch 18, Train loss 0.4711 , Train Accuracy 0.7630, Test loss 0.8306, Test Accuracy 0.6291
Epoch 19, Train loss 0.4591 , Train Accuracy 0.7796, Test loss 0.8955, Test Accuracy 0.6143
Epoch 20, Train loss 0.4696 , Train Accuracy 0.7678, Test loss 0.8877, Test Accuracy 0.6201
Epoch 21, Train loss 0.4474 , Train Accuracy 0.7823, Test loss 0.8767, Test Accuracy 0.6401
Epoch 22, Train loss 0.4398 , Train Accuracy 0.7903, Test loss 0.8740, Test Accuracy 0.6344
Epoch 23, Train loss 0.4419 , Train Accuracy 0.7828, Test loss 0.8861, Test Accuracy 0.6412
Epoch 24, Train loss 0.4298 , Train Accuracy 0.7930, Test loss 0.9371, Test Accuracy 0.6375
Epoch 25, Train loss 0.4259 , Train Accuracy 0.7952, Test loss 0.9201, Test Accuracy 0.6370
Epoch 26, Train loss 0.4080 , Train Accuracy 0.8123, Test loss 0.9515, Test Accuracy 0.6354
Epoch 27, Train loss 0.4114 , Train Accuracy 0.7995, Test loss 0.9474, Test Accuracy 0.6286
Epoch 28, Train loss 0.3994 , Train Accuracy 0.8129, Test loss 0.9119, Test Accuracy 0.6449
Epoch 29, Train loss 0.4084 , Train Accuracy 0.8102, Test loss 1.0034, Test Accuracy 0.6275
Epoch 30, Train loss 0.3843 , Train Accuracy 0.8209, Test loss 1.0300, Test Accuracy 0.6386
Epoch 31, Train loss 0.3874 , Train Accuracy 0.8284, Test loss 1.1591, Test Accuracy 0.6048
Epoch 32, Train loss 0.3908 , Train Accuracy 0.8129, Test loss 0.9668, Test Accuracy 0.6412
Epoch 33, Train loss 0.3786 , Train Accuracy 0.8177, Test loss 1.0933, Test Accuracy 0.6180
Epoch 34, Train loss 0.3740 , Train Accuracy 0.8322, Test loss 1.0149, Test Accuracy 0.6344
Epoch 35, Train loss 0.3714 , Train Accuracy 0.8284, Test loss 1.2368, Test Accuracy 0.5954
Epoch 36, Train loss 0.3772 , Train Accuracy 0.8284, Test loss 1.0048, Test Accuracy 0.6433
Epoch 37, Train loss 0.3631 , Train Accuracy 0.8375, Test loss 1.0788, Test Accuracy 0.6317
Epoch 38, Train loss 0.3676 , Train Accuracy 0.8338, Test loss 1.0244, Test Accuracy 0.6391
Epoch 39, Train loss 0.3664 , Train Accuracy 0.8322, Test loss 1.1446, Test Accuracy 0.6243
Epoch 40, Train loss 0.3721 , Train Accuracy 0.8273, Test loss 1.0926, Test Accuracy 0.6386
Epoch 41, Train loss 0.3627 , Train Accuracy 0.8209, Test loss 1.1304, Test Accuracy 0.6338
Epoch 42, Train loss 0.3407 , Train Accuracy 0.8488, Test loss 1.1310, Test Accuracy 0.6307
Epoch 43, Train loss 0.3532 , Train Accuracy 0.8375, Test loss 1.0321, Test Accuracy 0.6523
Epoch 44, Train loss 0.3643 , Train Accuracy 0.8306, Test loss 1.0637, Test Accuracy 0.6428
Epoch 45, Train loss 0.3505 , Train Accuracy 0.8354, Test loss 1.0791, Test Accuracy 0.6380
Epoch 46, Train loss 0.3318 , Train Accuracy 0.8434, Test loss 1.2052, Test Accuracy 0.6254
Epoch 47, Train loss 0.3375 , Train Accuracy 0.8504, Test loss 1.1252, Test Accuracy 0.6401
Epoch 48, Train loss 0.3204 , Train Accuracy 0.8547, Test loss 1.1860, Test Accuracy 0.6328
Epoch 49, Train loss 0.3242 , Train Accuracy 0.8579, Test loss 1.3275, Test Accuracy 0.6185
Epoch 50, Train loss 0.3403 , Train Accuracy 0.8434, Test loss 1.1519, Test Accuracy 0.6428
