tuh_downstream_smallset_tflayers16, freeze 8
Epoch 1, Train loss 0.7278 , Train Accuracy 0.5410, Test loss 0.7155, Test Accuracy 0.5590
Epoch 2, Train loss 0.6800 , Train Accuracy 0.5952, Test loss 0.7242, Test Accuracy 0.5880
Epoch 3, Train loss 0.6451 , Train Accuracy 0.6290, Test loss 0.9105, Test Accuracy 0.5501
Epoch 4, Train loss 0.6286 , Train Accuracy 0.6354, Test loss 0.7608, Test Accuracy 0.5954
Epoch 5, Train loss 0.6094 , Train Accuracy 0.6606, Test loss 0.9170, Test Accuracy 0.5274
Epoch 6, Train loss 0.5898 , Train Accuracy 0.6761, Test loss 0.7725, Test Accuracy 0.5738
Epoch 7, Train loss 0.5754 , Train Accuracy 0.6799, Test loss 0.9204, Test Accuracy 0.5453
Epoch 8, Train loss 0.5567 , Train Accuracy 0.6976, Test loss 0.8004, Test Accuracy 0.5922
Epoch 9, Train loss 0.5521 , Train Accuracy 0.7029, Test loss 0.8655, Test Accuracy 0.5627
Epoch 10, Train loss 0.5409 , Train Accuracy 0.7105, Test loss 0.8298, Test Accuracy 0.5896
Epoch 11, Train loss 0.5326 , Train Accuracy 0.7126, Test loss 0.8514, Test Accuracy 0.5848
Epoch 12, Train loss 0.5286 , Train Accuracy 0.7303, Test loss 0.8343, Test Accuracy 0.6170
Epoch 13, Train loss 0.5251 , Train Accuracy 0.7249, Test loss 0.8922, Test Accuracy 0.5843
Epoch 14, Train loss 0.5137 , Train Accuracy 0.7362, Test loss 0.8185, Test Accuracy 0.6212
Epoch 15, Train loss 0.5055 , Train Accuracy 0.7378, Test loss 0.9726, Test Accuracy 0.5711
Epoch 16, Train loss 0.4941 , Train Accuracy 0.7410, Test loss 0.8316, Test Accuracy 0.6133
Epoch 17, Train loss 0.4960 , Train Accuracy 0.7389, Test loss 0.8459, Test Accuracy 0.6122
Epoch 18, Train loss 0.4847 , Train Accuracy 0.7603, Test loss 0.8102, Test Accuracy 0.6264
Epoch 19, Train loss 0.4759 , Train Accuracy 0.7609, Test loss 0.8698, Test Accuracy 0.6080
Epoch 20, Train loss 0.4827 , Train Accuracy 0.7534, Test loss 0.8391, Test Accuracy 0.6217
Epoch 21, Train loss 0.4639 , Train Accuracy 0.7635, Test loss 0.8594, Test Accuracy 0.6317
Epoch 22, Train loss 0.4554 , Train Accuracy 0.7802, Test loss 0.8580, Test Accuracy 0.6322
Epoch 23, Train loss 0.4594 , Train Accuracy 0.7748, Test loss 0.8599, Test Accuracy 0.6380
Epoch 24, Train loss 0.4485 , Train Accuracy 0.7759, Test loss 0.9223, Test Accuracy 0.6280
Epoch 25, Train loss 0.4449 , Train Accuracy 0.7871, Test loss 0.8935, Test Accuracy 0.6243
Epoch 26, Train loss 0.4255 , Train Accuracy 0.8016, Test loss 0.9336, Test Accuracy 0.6217
Epoch 27, Train loss 0.4290 , Train Accuracy 0.7925, Test loss 0.9129, Test Accuracy 0.6270
Epoch 28, Train loss 0.4229 , Train Accuracy 0.8091, Test loss 0.8991, Test Accuracy 0.6349
Epoch 29, Train loss 0.4315 , Train Accuracy 0.7871, Test loss 0.9817, Test Accuracy 0.6259
Epoch 30, Train loss 0.4071 , Train Accuracy 0.8091, Test loss 0.9867, Test Accuracy 0.6254
Epoch 31, Train loss 0.4077 , Train Accuracy 0.8161, Test loss 1.1253, Test Accuracy 0.6022
Epoch 32, Train loss 0.4128 , Train Accuracy 0.8043, Test loss 0.9599, Test Accuracy 0.6296
Epoch 33, Train loss 0.3999 , Train Accuracy 0.8150, Test loss 1.0176, Test Accuracy 0.6212
Epoch 34, Train loss 0.3905 , Train Accuracy 0.8306, Test loss 1.0151, Test Accuracy 0.6180
Epoch 35, Train loss 0.3938 , Train Accuracy 0.8113, Test loss 1.2622, Test Accuracy 0.5827
Epoch 36, Train loss 0.3991 , Train Accuracy 0.8193, Test loss 0.9740, Test Accuracy 0.6280
Epoch 37, Train loss 0.3889 , Train Accuracy 0.8220, Test loss 1.0538, Test Accuracy 0.6280
Epoch 38, Train loss 0.3886 , Train Accuracy 0.8198, Test loss 0.9956, Test Accuracy 0.6391
Epoch 39, Train loss 0.3849 , Train Accuracy 0.8193, Test loss 1.1093, Test Accuracy 0.6196
Epoch 40, Train loss 0.3898 , Train Accuracy 0.8279, Test loss 1.0350, Test Accuracy 0.6291
Epoch 41, Train loss 0.3899 , Train Accuracy 0.8198, Test loss 1.0723, Test Accuracy 0.6280
Epoch 42, Train loss 0.3652 , Train Accuracy 0.8370, Test loss 1.1013, Test Accuracy 0.6259
Epoch 43, Train loss 0.3769 , Train Accuracy 0.8359, Test loss 1.0234, Test Accuracy 0.6243
Epoch 44, Train loss 0.3860 , Train Accuracy 0.8145, Test loss 1.0335, Test Accuracy 0.6386
Epoch 45, Train loss 0.3827 , Train Accuracy 0.8263, Test loss 1.0482, Test Accuracy 0.6338
Epoch 46, Train loss 0.3632 , Train Accuracy 0.8300, Test loss 1.2544, Test Accuracy 0.6059
Epoch 47, Train loss 0.3665 , Train Accuracy 0.8381, Test loss 1.1181, Test Accuracy 0.6180
Epoch 48, Train loss 0.3469 , Train Accuracy 0.8472, Test loss 1.1839, Test Accuracy 0.6238
Epoch 49, Train loss 0.3573 , Train Accuracy 0.8456, Test loss 1.3897, Test Accuracy 0.5927
Epoch 50, Train loss 0.3738 , Train Accuracy 0.8273, Test loss 1.1436, Test Accuracy 0.6222
