tuh_downstream_smallset_tflayers4, freeze 0
Epoch 1, Train loss 0.7288 , Train Accuracy 0.5164, Test loss 0.6604, Test Accuracy 0.5948
Epoch 2, Train loss 0.6938 , Train Accuracy 0.5641, Test loss 0.6572, Test Accuracy 0.6112
Epoch 3, Train loss 0.6514 , Train Accuracy 0.6054, Test loss 0.7398, Test Accuracy 0.5901
Epoch 4, Train loss 0.6361 , Train Accuracy 0.6316, Test loss 0.6676, Test Accuracy 0.6407
Epoch 5, Train loss 0.6184 , Train Accuracy 0.6343, Test loss 0.9250, Test Accuracy 0.5558
Epoch 6, Train loss 0.6055 , Train Accuracy 0.6643, Test loss 0.7202, Test Accuracy 0.6391
Epoch 7, Train loss 0.5918 , Train Accuracy 0.6761, Test loss 0.9982, Test Accuracy 0.5695
Epoch 8, Train loss 0.5704 , Train Accuracy 0.6965, Test loss 0.8363, Test Accuracy 0.6122
Epoch 9, Train loss 0.5705 , Train Accuracy 0.6944, Test loss 0.8386, Test Accuracy 0.6128
Epoch 10, Train loss 0.5504 , Train Accuracy 0.7137, Test loss 0.8443, Test Accuracy 0.6222
Epoch 11, Train loss 0.5426 , Train Accuracy 0.7153, Test loss 0.8122, Test Accuracy 0.6391
Epoch 12, Train loss 0.5345 , Train Accuracy 0.7314, Test loss 0.8099, Test Accuracy 0.6560
Epoch 13, Train loss 0.5377 , Train Accuracy 0.7196, Test loss 0.8799, Test Accuracy 0.6370
Epoch 14, Train loss 0.5213 , Train Accuracy 0.7319, Test loss 0.9284, Test Accuracy 0.6423
Epoch 15, Train loss 0.5214 , Train Accuracy 0.7405, Test loss 0.8734, Test Accuracy 0.6465
Epoch 16, Train loss 0.5090 , Train Accuracy 0.7394, Test loss 0.8275, Test Accuracy 0.6660
Epoch 17, Train loss 0.4959 , Train Accuracy 0.7555, Test loss 0.8336, Test Accuracy 0.6691
Epoch 18, Train loss 0.4821 , Train Accuracy 0.7571, Test loss 0.8580, Test Accuracy 0.6670
Epoch 19, Train loss 0.4755 , Train Accuracy 0.7807, Test loss 0.8518, Test Accuracy 0.6697
Epoch 20, Train loss 0.4862 , Train Accuracy 0.7555, Test loss 0.8662, Test Accuracy 0.6628
Epoch 21, Train loss 0.4554 , Train Accuracy 0.7839, Test loss 0.9112, Test Accuracy 0.6644
Epoch 22, Train loss 0.4499 , Train Accuracy 0.7893, Test loss 0.9392, Test Accuracy 0.6660
Epoch 23, Train loss 0.4612 , Train Accuracy 0.7818, Test loss 0.9078, Test Accuracy 0.6712
Epoch 24, Train loss 0.4440 , Train Accuracy 0.7893, Test loss 1.0330, Test Accuracy 0.6549
Epoch 25, Train loss 0.4587 , Train Accuracy 0.7812, Test loss 0.9242, Test Accuracy 0.6686
Epoch 26, Train loss 0.4309 , Train Accuracy 0.7957, Test loss 0.9524, Test Accuracy 0.6602
Epoch 27, Train loss 0.4331 , Train Accuracy 0.8070, Test loss 0.9355, Test Accuracy 0.6812
Epoch 28, Train loss 0.4545 , Train Accuracy 0.7871, Test loss 0.9301, Test Accuracy 0.6670
Epoch 29, Train loss 0.4262 , Train Accuracy 0.8005, Test loss 0.9949, Test Accuracy 0.6786
Epoch 30, Train loss 0.4195 , Train Accuracy 0.8070, Test loss 0.9915, Test Accuracy 0.6691
Epoch 31, Train loss 0.4071 , Train Accuracy 0.8113, Test loss 0.9627, Test Accuracy 0.6865
Epoch 32, Train loss 0.4329 , Train Accuracy 0.8043, Test loss 0.9964, Test Accuracy 0.6697
Epoch 33, Train loss 0.4260 , Train Accuracy 0.7979, Test loss 1.0696, Test Accuracy 0.6697
Epoch 34, Train loss 0.4096 , Train Accuracy 0.8225, Test loss 0.9928, Test Accuracy 0.6718
Epoch 35, Train loss 0.3993 , Train Accuracy 0.8220, Test loss 1.0560, Test Accuracy 0.6818
Epoch 36, Train loss 0.3935 , Train Accuracy 0.8247, Test loss 1.0763, Test Accuracy 0.6744
Epoch 37, Train loss 0.4003 , Train Accuracy 0.8150, Test loss 1.0181, Test Accuracy 0.6902
Epoch 38, Train loss 0.3886 , Train Accuracy 0.8322, Test loss 1.0570, Test Accuracy 0.6812
Epoch 39, Train loss 0.3831 , Train Accuracy 0.8247, Test loss 1.0407, Test Accuracy 0.6781
Epoch 40, Train loss 0.3779 , Train Accuracy 0.8327, Test loss 1.0414, Test Accuracy 0.6786
Epoch 41, Train loss 0.3910 , Train Accuracy 0.8198, Test loss 1.0557, Test Accuracy 0.6865
Epoch 42, Train loss 0.3857 , Train Accuracy 0.8263, Test loss 1.0099, Test Accuracy 0.6818
Epoch 43, Train loss 0.3718 , Train Accuracy 0.8338, Test loss 1.0482, Test Accuracy 0.6828
Epoch 44, Train loss 0.3702 , Train Accuracy 0.8375, Test loss 1.2060, Test Accuracy 0.6876
Epoch 45, Train loss 0.3651 , Train Accuracy 0.8295, Test loss 1.0830, Test Accuracy 0.6728
Epoch 46, Train loss 0.3833 , Train Accuracy 0.8252, Test loss 1.1899, Test Accuracy 0.6791
Epoch 47, Train loss 0.3687 , Train Accuracy 0.8418, Test loss 1.0644, Test Accuracy 0.6807
Epoch 48, Train loss 0.3493 , Train Accuracy 0.8429, Test loss 1.0773, Test Accuracy 0.6876
Epoch 49, Train loss 0.3655 , Train Accuracy 0.8273, Test loss 1.1760, Test Accuracy 0.6865
Epoch 50, Train loss 0.3742 , Train Accuracy 0.8273, Test loss 1.0911, Test Accuracy 0.6844
