tuh_downstream_smallset_tflayers12, freeze 4
Epoch 1, Train loss 0.7284 , Train Accuracy 0.5223, Test loss 0.6852, Test Accuracy 0.5732
Epoch 2, Train loss 0.7050 , Train Accuracy 0.5421, Test loss 0.7010, Test Accuracy 0.5885
Epoch 3, Train loss 0.6850 , Train Accuracy 0.5710, Test loss 0.8867, Test Accuracy 0.5242
Epoch 4, Train loss 0.6747 , Train Accuracy 0.5812, Test loss 0.6920, Test Accuracy 0.6133
Epoch 5, Train loss 0.6602 , Train Accuracy 0.6043, Test loss 0.9729, Test Accuracy 0.5095
Epoch 6, Train loss 0.6615 , Train Accuracy 0.6091, Test loss 0.6928, Test Accuracy 0.5980
Epoch 7, Train loss 0.6520 , Train Accuracy 0.6054, Test loss 0.8651, Test Accuracy 0.5316
Epoch 8, Train loss 0.6436 , Train Accuracy 0.6225, Test loss 0.6981, Test Accuracy 0.6070
Epoch 9, Train loss 0.6408 , Train Accuracy 0.6316, Test loss 0.7415, Test Accuracy 0.5927
Epoch 10, Train loss 0.6336 , Train Accuracy 0.6440, Test loss 0.7217, Test Accuracy 0.6006
Epoch 11, Train loss 0.6261 , Train Accuracy 0.6332, Test loss 0.7516, Test Accuracy 0.5996
Epoch 12, Train loss 0.6375 , Train Accuracy 0.6402, Test loss 0.7005, Test Accuracy 0.6291
Epoch 13, Train loss 0.6299 , Train Accuracy 0.6429, Test loss 0.7864, Test Accuracy 0.5906
Epoch 14, Train loss 0.6222 , Train Accuracy 0.6450, Test loss 0.7461, Test Accuracy 0.6048
Epoch 15, Train loss 0.6272 , Train Accuracy 0.6617, Test loss 0.9032, Test Accuracy 0.5627
Epoch 16, Train loss 0.6155 , Train Accuracy 0.6547, Test loss 0.7154, Test Accuracy 0.6228
Epoch 17, Train loss 0.6245 , Train Accuracy 0.6434, Test loss 0.7182, Test Accuracy 0.6380
Epoch 18, Train loss 0.6132 , Train Accuracy 0.6563, Test loss 0.7267, Test Accuracy 0.6249
Epoch 19, Train loss 0.6009 , Train Accuracy 0.6708, Test loss 0.7383, Test Accuracy 0.6096
Epoch 20, Train loss 0.6046 , Train Accuracy 0.6654, Test loss 0.7320, Test Accuracy 0.6228
Epoch 21, Train loss 0.6043 , Train Accuracy 0.6552, Test loss 0.7331, Test Accuracy 0.6333
Epoch 22, Train loss 0.5960 , Train Accuracy 0.6804, Test loss 0.7388, Test Accuracy 0.6359
Epoch 23, Train loss 0.5981 , Train Accuracy 0.6665, Test loss 0.7520, Test Accuracy 0.6312
Epoch 24, Train loss 0.5911 , Train Accuracy 0.6751, Test loss 0.7542, Test Accuracy 0.6370
Epoch 25, Train loss 0.5925 , Train Accuracy 0.6713, Test loss 0.7659, Test Accuracy 0.6264
Epoch 26, Train loss 0.5815 , Train Accuracy 0.6826, Test loss 0.7643, Test Accuracy 0.6354
Epoch 27, Train loss 0.5908 , Train Accuracy 0.6686, Test loss 0.7911, Test Accuracy 0.6207
Epoch 28, Train loss 0.5984 , Train Accuracy 0.6740, Test loss 0.7584, Test Accuracy 0.6386
Epoch 29, Train loss 0.5834 , Train Accuracy 0.6783, Test loss 0.8009, Test Accuracy 0.6196
Epoch 30, Train loss 0.5724 , Train Accuracy 0.6842, Test loss 0.7810, Test Accuracy 0.6365
Epoch 31, Train loss 0.5800 , Train Accuracy 0.6724, Test loss 0.8610, Test Accuracy 0.6228
Epoch 32, Train loss 0.5732 , Train Accuracy 0.6906, Test loss 0.7908, Test Accuracy 0.6375
Epoch 33, Train loss 0.5733 , Train Accuracy 0.6960, Test loss 0.9703, Test Accuracy 0.5975
Epoch 34, Train loss 0.5714 , Train Accuracy 0.6933, Test loss 0.7911, Test Accuracy 0.6365
Epoch 35, Train loss 0.5621 , Train Accuracy 0.6997, Test loss 0.9421, Test Accuracy 0.6075
Epoch 36, Train loss 0.5631 , Train Accuracy 0.7056, Test loss 0.8207, Test Accuracy 0.6312
Epoch 37, Train loss 0.5663 , Train Accuracy 0.6928, Test loss 0.8344, Test Accuracy 0.6333
Epoch 38, Train loss 0.5574 , Train Accuracy 0.7024, Test loss 0.8980, Test Accuracy 0.6222
Epoch 39, Train loss 0.5520 , Train Accuracy 0.7105, Test loss 0.8337, Test Accuracy 0.6349
Epoch 40, Train loss 0.5566 , Train Accuracy 0.7051, Test loss 0.8039, Test Accuracy 0.6465
Epoch 41, Train loss 0.5617 , Train Accuracy 0.7083, Test loss 0.8020, Test Accuracy 0.6423
Epoch 42, Train loss 0.5444 , Train Accuracy 0.7121, Test loss 0.8302, Test Accuracy 0.6228
Epoch 43, Train loss 0.5538 , Train Accuracy 0.7180, Test loss 0.8181, Test Accuracy 0.6365
Epoch 44, Train loss 0.5651 , Train Accuracy 0.7003, Test loss 0.8158, Test Accuracy 0.6438
Epoch 45, Train loss 0.5445 , Train Accuracy 0.7185, Test loss 0.8249, Test Accuracy 0.6396
Epoch 46, Train loss 0.5431 , Train Accuracy 0.7094, Test loss 0.8715, Test Accuracy 0.6291
Epoch 47, Train loss 0.5408 , Train Accuracy 0.7174, Test loss 0.8879, Test Accuracy 0.6201
Epoch 48, Train loss 0.5342 , Train Accuracy 0.7201, Test loss 0.8471, Test Accuracy 0.6428
Epoch 49, Train loss 0.5310 , Train Accuracy 0.7196, Test loss 0.8628, Test Accuracy 0.6359
Epoch 50, Train loss 0.5329 , Train Accuracy 0.7298, Test loss 0.8440, Test Accuracy 0.6428
