tuh_downstream_smallset_tflayers20, freeze 4
Epoch 1, Train loss 0.7852 , Train Accuracy 0.5373, Test loss 0.8214, Test Accuracy 0.5495
Epoch 2, Train loss 0.7067 , Train Accuracy 0.5710, Test loss 0.7951, Test Accuracy 0.5443
Epoch 3, Train loss 0.6737 , Train Accuracy 0.6070, Test loss 1.0468, Test Accuracy 0.5390
Epoch 4, Train loss 0.6644 , Train Accuracy 0.6257, Test loss 0.8202, Test Accuracy 0.5727
Epoch 5, Train loss 0.6314 , Train Accuracy 0.6440, Test loss 1.0096, Test Accuracy 0.4958
Epoch 6, Train loss 0.6204 , Train Accuracy 0.6649, Test loss 0.8227, Test Accuracy 0.5379
Epoch 7, Train loss 0.6159 , Train Accuracy 0.6584, Test loss 0.9230, Test Accuracy 0.5132
Epoch 8, Train loss 0.5927 , Train Accuracy 0.6740, Test loss 0.8219, Test Accuracy 0.5627
Epoch 9, Train loss 0.5984 , Train Accuracy 0.6794, Test loss 0.8364, Test Accuracy 0.5632
Epoch 10, Train loss 0.5781 , Train Accuracy 0.6960, Test loss 0.8884, Test Accuracy 0.5527
Epoch 11, Train loss 0.5743 , Train Accuracy 0.7019, Test loss 0.9102, Test Accuracy 0.5527
Epoch 12, Train loss 0.5656 , Train Accuracy 0.6954, Test loss 0.8630, Test Accuracy 0.5885
Epoch 13, Train loss 0.5550 , Train Accuracy 0.7142, Test loss 0.8673, Test Accuracy 0.5753
Epoch 14, Train loss 0.5359 , Train Accuracy 0.7292, Test loss 0.9214, Test Accuracy 0.5848
Epoch 15, Train loss 0.5379 , Train Accuracy 0.7249, Test loss 1.0239, Test Accuracy 0.5416
Epoch 16, Train loss 0.5278 , Train Accuracy 0.7282, Test loss 0.9195, Test Accuracy 0.5753
Epoch 17, Train loss 0.5202 , Train Accuracy 0.7324, Test loss 0.9189, Test Accuracy 0.5822
Epoch 18, Train loss 0.5132 , Train Accuracy 0.7373, Test loss 0.9149, Test Accuracy 0.5906
Epoch 19, Train loss 0.5011 , Train Accuracy 0.7534, Test loss 0.9289, Test Accuracy 0.5880
Epoch 20, Train loss 0.5044 , Train Accuracy 0.7480, Test loss 0.9603, Test Accuracy 0.5911
Epoch 21, Train loss 0.4914 , Train Accuracy 0.7383, Test loss 0.9555, Test Accuracy 0.5922
Epoch 22, Train loss 0.4846 , Train Accuracy 0.7598, Test loss 0.9524, Test Accuracy 0.5985
Epoch 23, Train loss 0.4689 , Train Accuracy 0.7651, Test loss 0.9856, Test Accuracy 0.5959
Epoch 24, Train loss 0.4685 , Train Accuracy 0.7641, Test loss 1.0012, Test Accuracy 0.5959
Epoch 25, Train loss 0.4698 , Train Accuracy 0.7705, Test loss 1.0067, Test Accuracy 0.5922
Epoch 26, Train loss 0.4619 , Train Accuracy 0.7700, Test loss 1.0059, Test Accuracy 0.6001
Epoch 27, Train loss 0.4694 , Train Accuracy 0.7689, Test loss 1.0015, Test Accuracy 0.5969
Epoch 28, Train loss 0.4667 , Train Accuracy 0.7769, Test loss 1.0392, Test Accuracy 0.5959
Epoch 29, Train loss 0.4675 , Train Accuracy 0.7700, Test loss 1.0356, Test Accuracy 0.6022
Epoch 30, Train loss 0.4398 , Train Accuracy 0.7807, Test loss 1.0427, Test Accuracy 0.6043
Epoch 31, Train loss 0.4543 , Train Accuracy 0.7786, Test loss 1.1626, Test Accuracy 0.5748
Epoch 32, Train loss 0.4424 , Train Accuracy 0.7882, Test loss 1.0445, Test Accuracy 0.5996
Epoch 33, Train loss 0.4293 , Train Accuracy 0.7898, Test loss 1.1010, Test Accuracy 0.6001
Epoch 34, Train loss 0.4405 , Train Accuracy 0.7898, Test loss 1.0704, Test Accuracy 0.6064
Epoch 35, Train loss 0.4377 , Train Accuracy 0.7828, Test loss 1.2427, Test Accuracy 0.5748
Epoch 36, Train loss 0.4434 , Train Accuracy 0.7839, Test loss 1.0744, Test Accuracy 0.6054
Epoch 37, Train loss 0.4339 , Train Accuracy 0.7952, Test loss 1.1373, Test Accuracy 0.5890
Epoch 38, Train loss 0.4300 , Train Accuracy 0.7887, Test loss 1.1571, Test Accuracy 0.5890
Epoch 39, Train loss 0.4299 , Train Accuracy 0.7962, Test loss 1.1569, Test Accuracy 0.5885
Epoch 40, Train loss 0.4241 , Train Accuracy 0.7984, Test loss 1.1029, Test Accuracy 0.6085
Epoch 41, Train loss 0.4198 , Train Accuracy 0.8011, Test loss 1.1185, Test Accuracy 0.6075
Epoch 42, Train loss 0.4090 , Train Accuracy 0.8027, Test loss 1.1175, Test Accuracy 0.6022
Epoch 43, Train loss 0.4159 , Train Accuracy 0.7995, Test loss 1.1297, Test Accuracy 0.6075
Epoch 44, Train loss 0.4002 , Train Accuracy 0.8172, Test loss 1.2110, Test Accuracy 0.5996
Epoch 45, Train loss 0.4195 , Train Accuracy 0.8032, Test loss 1.1476, Test Accuracy 0.6059
Epoch 46, Train loss 0.3996 , Train Accuracy 0.8220, Test loss 1.2500, Test Accuracy 0.5838
Epoch 47, Train loss 0.3992 , Train Accuracy 0.8134, Test loss 1.1937, Test Accuracy 0.5927
Epoch 48, Train loss 0.3996 , Train Accuracy 0.8021, Test loss 1.1872, Test Accuracy 0.5991
Epoch 49, Train loss 0.3940 , Train Accuracy 0.8172, Test loss 1.2192, Test Accuracy 0.5954
Epoch 50, Train loss 0.3986 , Train Accuracy 0.8188, Test loss 1.1941, Test Accuracy 0.6038
