tuh_downstream_smallset_tflayers16, freeze 12
Epoch 1, Train loss 0.7278 , Train Accuracy 0.5399, Test loss 0.7156, Test Accuracy 0.5585
Epoch 2, Train loss 0.6803 , Train Accuracy 0.5957, Test loss 0.7240, Test Accuracy 0.5859
Epoch 3, Train loss 0.6452 , Train Accuracy 0.6284, Test loss 0.9102, Test Accuracy 0.5490
Epoch 4, Train loss 0.6284 , Train Accuracy 0.6359, Test loss 0.7619, Test Accuracy 0.5906
Epoch 5, Train loss 0.6095 , Train Accuracy 0.6590, Test loss 0.9189, Test Accuracy 0.5263
Epoch 6, Train loss 0.5899 , Train Accuracy 0.6804, Test loss 0.7722, Test Accuracy 0.5764
Epoch 7, Train loss 0.5754 , Train Accuracy 0.6826, Test loss 0.9221, Test Accuracy 0.5421
Epoch 8, Train loss 0.5572 , Train Accuracy 0.6954, Test loss 0.7994, Test Accuracy 0.5938
Epoch 9, Train loss 0.5525 , Train Accuracy 0.7008, Test loss 0.8629, Test Accuracy 0.5616
Epoch 10, Train loss 0.5412 , Train Accuracy 0.7067, Test loss 0.8293, Test Accuracy 0.5864
Epoch 11, Train loss 0.5325 , Train Accuracy 0.7164, Test loss 0.8493, Test Accuracy 0.5859
Epoch 12, Train loss 0.5285 , Train Accuracy 0.7314, Test loss 0.8396, Test Accuracy 0.6164
Epoch 13, Train loss 0.5255 , Train Accuracy 0.7255, Test loss 0.8956, Test Accuracy 0.5827
Epoch 14, Train loss 0.5146 , Train Accuracy 0.7383, Test loss 0.8238, Test Accuracy 0.6233
Epoch 15, Train loss 0.5065 , Train Accuracy 0.7389, Test loss 0.9679, Test Accuracy 0.5701
Epoch 16, Train loss 0.4940 , Train Accuracy 0.7416, Test loss 0.8332, Test Accuracy 0.6128
Epoch 17, Train loss 0.4974 , Train Accuracy 0.7362, Test loss 0.8422, Test Accuracy 0.6170
Epoch 18, Train loss 0.4852 , Train Accuracy 0.7619, Test loss 0.8090, Test Accuracy 0.6322
Epoch 19, Train loss 0.4765 , Train Accuracy 0.7619, Test loss 0.8810, Test Accuracy 0.6096
Epoch 20, Train loss 0.4838 , Train Accuracy 0.7534, Test loss 0.8445, Test Accuracy 0.6175
Epoch 21, Train loss 0.4646 , Train Accuracy 0.7657, Test loss 0.8639, Test Accuracy 0.6259
Epoch 22, Train loss 0.4568 , Train Accuracy 0.7823, Test loss 0.8631, Test Accuracy 0.6333
Epoch 23, Train loss 0.4598 , Train Accuracy 0.7673, Test loss 0.8641, Test Accuracy 0.6291
Epoch 24, Train loss 0.4495 , Train Accuracy 0.7764, Test loss 0.9416, Test Accuracy 0.6233
Epoch 25, Train loss 0.4457 , Train Accuracy 0.7850, Test loss 0.9018, Test Accuracy 0.6201
Epoch 26, Train loss 0.4271 , Train Accuracy 0.8011, Test loss 0.9416, Test Accuracy 0.6217
Epoch 27, Train loss 0.4303 , Train Accuracy 0.7882, Test loss 0.9219, Test Accuracy 0.6264
Epoch 28, Train loss 0.4243 , Train Accuracy 0.8054, Test loss 0.9095, Test Accuracy 0.6317
Epoch 29, Train loss 0.4318 , Train Accuracy 0.7920, Test loss 0.9860, Test Accuracy 0.6228
Epoch 30, Train loss 0.4083 , Train Accuracy 0.8038, Test loss 0.9926, Test Accuracy 0.6212
Epoch 31, Train loss 0.4086 , Train Accuracy 0.8177, Test loss 1.1257, Test Accuracy 0.5985
Epoch 32, Train loss 0.4138 , Train Accuracy 0.7979, Test loss 0.9575, Test Accuracy 0.6296
Epoch 33, Train loss 0.4014 , Train Accuracy 0.8150, Test loss 1.0265, Test Accuracy 0.6201
Epoch 34, Train loss 0.3924 , Train Accuracy 0.8300, Test loss 1.0198, Test Accuracy 0.6138
Epoch 35, Train loss 0.3954 , Train Accuracy 0.8150, Test loss 1.2782, Test Accuracy 0.5827
Epoch 36, Train loss 0.3993 , Train Accuracy 0.8177, Test loss 0.9763, Test Accuracy 0.6207
Epoch 37, Train loss 0.3904 , Train Accuracy 0.8166, Test loss 1.0521, Test Accuracy 0.6254
Epoch 38, Train loss 0.3909 , Train Accuracy 0.8150, Test loss 0.9946, Test Accuracy 0.6417
Epoch 39, Train loss 0.3872 , Train Accuracy 0.8209, Test loss 1.1122, Test Accuracy 0.6185
Epoch 40, Train loss 0.3923 , Train Accuracy 0.8300, Test loss 1.0400, Test Accuracy 0.6249
Epoch 41, Train loss 0.3919 , Train Accuracy 0.8177, Test loss 1.0731, Test Accuracy 0.6238
Epoch 42, Train loss 0.3653 , Train Accuracy 0.8402, Test loss 1.1004, Test Accuracy 0.6233
Epoch 43, Train loss 0.3782 , Train Accuracy 0.8343, Test loss 1.0275, Test Accuracy 0.6233
Epoch 44, Train loss 0.3885 , Train Accuracy 0.8161, Test loss 1.0309, Test Accuracy 0.6349
Epoch 45, Train loss 0.3857 , Train Accuracy 0.8204, Test loss 1.0468, Test Accuracy 0.6328
Epoch 46, Train loss 0.3642 , Train Accuracy 0.8263, Test loss 1.2435, Test Accuracy 0.6001
Epoch 47, Train loss 0.3669 , Train Accuracy 0.8365, Test loss 1.1444, Test Accuracy 0.6101
Epoch 48, Train loss 0.3499 , Train Accuracy 0.8456, Test loss 1.1825, Test Accuracy 0.6191
Epoch 49, Train loss 0.3597 , Train Accuracy 0.8402, Test loss 1.3578, Test Accuracy 0.5917
Epoch 50, Train loss 0.3751 , Train Accuracy 0.8247, Test loss 1.1343, Test Accuracy 0.6138
