tuh_downstream_smallset_tflayers12, freeze 12
Epoch 1, Train loss 0.7286 , Train Accuracy 0.5223, Test loss 0.6851, Test Accuracy 0.5727
Epoch 2, Train loss 0.7044 , Train Accuracy 0.5421, Test loss 0.7003, Test Accuracy 0.5859
Epoch 3, Train loss 0.6853 , Train Accuracy 0.5662, Test loss 0.8784, Test Accuracy 0.5248
Epoch 4, Train loss 0.6751 , Train Accuracy 0.5845, Test loss 0.6846, Test Accuracy 0.6112
Epoch 5, Train loss 0.6619 , Train Accuracy 0.6032, Test loss 0.9480, Test Accuracy 0.5084
Epoch 6, Train loss 0.6636 , Train Accuracy 0.6086, Test loss 0.6873, Test Accuracy 0.6054
Epoch 7, Train loss 0.6552 , Train Accuracy 0.6043, Test loss 0.8483, Test Accuracy 0.5369
Epoch 8, Train loss 0.6440 , Train Accuracy 0.6247, Test loss 0.6891, Test Accuracy 0.6117
Epoch 9, Train loss 0.6448 , Train Accuracy 0.6322, Test loss 0.7102, Test Accuracy 0.6080
Epoch 10, Train loss 0.6381 , Train Accuracy 0.6354, Test loss 0.6952, Test Accuracy 0.6170
Epoch 11, Train loss 0.6317 , Train Accuracy 0.6268, Test loss 0.7208, Test Accuracy 0.6054
Epoch 12, Train loss 0.6441 , Train Accuracy 0.6338, Test loss 0.6830, Test Accuracy 0.6307
Epoch 13, Train loss 0.6354 , Train Accuracy 0.6429, Test loss 0.7928, Test Accuracy 0.5864
Epoch 14, Train loss 0.6290 , Train Accuracy 0.6418, Test loss 0.7093, Test Accuracy 0.6122
Epoch 15, Train loss 0.6336 , Train Accuracy 0.6483, Test loss 0.8966, Test Accuracy 0.5522
Epoch 16, Train loss 0.6235 , Train Accuracy 0.6408, Test loss 0.6983, Test Accuracy 0.6233
Epoch 17, Train loss 0.6305 , Train Accuracy 0.6365, Test loss 0.6987, Test Accuracy 0.6344
Epoch 18, Train loss 0.6211 , Train Accuracy 0.6477, Test loss 0.7058, Test Accuracy 0.6317
Epoch 19, Train loss 0.6087 , Train Accuracy 0.6617, Test loss 0.7249, Test Accuracy 0.6196
Epoch 20, Train loss 0.6153 , Train Accuracy 0.6563, Test loss 0.7125, Test Accuracy 0.6286
Epoch 21, Train loss 0.6137 , Train Accuracy 0.6477, Test loss 0.7160, Test Accuracy 0.6185
Epoch 22, Train loss 0.6112 , Train Accuracy 0.6531, Test loss 0.7224, Test Accuracy 0.6185
Epoch 23, Train loss 0.6127 , Train Accuracy 0.6472, Test loss 0.7320, Test Accuracy 0.6238
Epoch 24, Train loss 0.6029 , Train Accuracy 0.6568, Test loss 0.7438, Test Accuracy 0.6270
Epoch 25, Train loss 0.6041 , Train Accuracy 0.6606, Test loss 0.7622, Test Accuracy 0.6249
Epoch 26, Train loss 0.5929 , Train Accuracy 0.6724, Test loss 0.7618, Test Accuracy 0.6196
Epoch 27, Train loss 0.6083 , Train Accuracy 0.6542, Test loss 0.7852, Test Accuracy 0.6175
Epoch 28, Train loss 0.6180 , Train Accuracy 0.6617, Test loss 0.7586, Test Accuracy 0.6259
Epoch 29, Train loss 0.5970 , Train Accuracy 0.6772, Test loss 0.7781, Test Accuracy 0.6233
Epoch 30, Train loss 0.5893 , Train Accuracy 0.6799, Test loss 0.7709, Test Accuracy 0.6264
Epoch 31, Train loss 0.5911 , Train Accuracy 0.6601, Test loss 0.8497, Test Accuracy 0.6149
Epoch 32, Train loss 0.5900 , Train Accuracy 0.6799, Test loss 0.7989, Test Accuracy 0.6259
Epoch 33, Train loss 0.5928 , Train Accuracy 0.6901, Test loss 0.8887, Test Accuracy 0.6096
Epoch 34, Train loss 0.5821 , Train Accuracy 0.6836, Test loss 0.7854, Test Accuracy 0.6291
Epoch 35, Train loss 0.5830 , Train Accuracy 0.6745, Test loss 0.9490, Test Accuracy 0.5927
Epoch 36, Train loss 0.5756 , Train Accuracy 0.6826, Test loss 0.8102, Test Accuracy 0.6291
Epoch 37, Train loss 0.5778 , Train Accuracy 0.6820, Test loss 0.8484, Test Accuracy 0.6291
Epoch 38, Train loss 0.5720 , Train Accuracy 0.6971, Test loss 0.9413, Test Accuracy 0.6138
Epoch 39, Train loss 0.5660 , Train Accuracy 0.7003, Test loss 0.8360, Test Accuracy 0.6322
Epoch 40, Train loss 0.5801 , Train Accuracy 0.6858, Test loss 0.8076, Test Accuracy 0.6317
Epoch 41, Train loss 0.5779 , Train Accuracy 0.6815, Test loss 0.8080, Test Accuracy 0.6375
Epoch 42, Train loss 0.5599 , Train Accuracy 0.6960, Test loss 0.8556, Test Accuracy 0.6233
Epoch 43, Train loss 0.5744 , Train Accuracy 0.7029, Test loss 0.8481, Test Accuracy 0.6264
Epoch 44, Train loss 0.5723 , Train Accuracy 0.6890, Test loss 0.8445, Test Accuracy 0.6344
Epoch 45, Train loss 0.5610 , Train Accuracy 0.6992, Test loss 0.8221, Test Accuracy 0.6354
Epoch 46, Train loss 0.5596 , Train Accuracy 0.6971, Test loss 0.8439, Test Accuracy 0.6280
Epoch 47, Train loss 0.5527 , Train Accuracy 0.7072, Test loss 0.8802, Test Accuracy 0.6180
Epoch 48, Train loss 0.5493 , Train Accuracy 0.7244, Test loss 0.8555, Test Accuracy 0.6296
Epoch 49, Train loss 0.5503 , Train Accuracy 0.7121, Test loss 0.8681, Test Accuracy 0.6291
Epoch 50, Train loss 0.5579 , Train Accuracy 0.7056, Test loss 0.8427, Test Accuracy 0.6317
