tuh_downstream_smallset_tflayers8, freeze 4
Epoch 1, Train loss 0.7301 , Train Accuracy 0.5144, Test loss 0.9172, Test Accuracy 0.5026
Epoch 2, Train loss 0.6991 , Train Accuracy 0.5373, Test loss 0.6797, Test Accuracy 0.5796
Epoch 3, Train loss 0.6742 , Train Accuracy 0.5830, Test loss 0.6926, Test Accuracy 0.5906
Epoch 4, Train loss 0.6602 , Train Accuracy 0.6015, Test loss 1.0129, Test Accuracy 0.4995
Epoch 5, Train loss 0.6518 , Train Accuracy 0.6168, Test loss 0.7466, Test Accuracy 0.5717
Epoch 6, Train loss 0.6491 , Train Accuracy 0.6206, Test loss 0.7377, Test Accuracy 0.5838
Epoch 7, Train loss 0.6324 , Train Accuracy 0.6217, Test loss 0.9622, Test Accuracy 0.5253
Epoch 8, Train loss 0.6250 , Train Accuracy 0.6418, Test loss 0.8000, Test Accuracy 0.5817
Epoch 9, Train loss 0.6203 , Train Accuracy 0.6462, Test loss 0.8005, Test Accuracy 0.5806
Epoch 10, Train loss 0.6091 , Train Accuracy 0.6581, Test loss 0.8861, Test Accuracy 0.5653
Epoch 11, Train loss 0.6302 , Train Accuracy 0.6429, Test loss 0.8633, Test Accuracy 0.5717
Epoch 12, Train loss 0.6164 , Train Accuracy 0.6538, Test loss 0.8221, Test Accuracy 0.5717
Epoch 13, Train loss 0.5969 , Train Accuracy 0.6701, Test loss 0.9943, Test Accuracy 0.5495
Epoch 14, Train loss 0.6173 , Train Accuracy 0.6500, Test loss 0.8740, Test Accuracy 0.5601
Epoch 15, Train loss 0.5928 , Train Accuracy 0.6772, Test loss 0.8371, Test Accuracy 0.5674
Epoch 16, Train loss 0.5761 , Train Accuracy 0.6864, Test loss 0.8410, Test Accuracy 0.5595
Epoch 17, Train loss 0.5783 , Train Accuracy 0.6826, Test loss 1.0218, Test Accuracy 0.5532
Epoch 18, Train loss 0.5715 , Train Accuracy 0.6886, Test loss 1.0965, Test Accuracy 0.5453
Epoch 19, Train loss 0.5637 , Train Accuracy 0.6924, Test loss 0.9214, Test Accuracy 0.5585
Epoch 20, Train loss 0.5440 , Train Accuracy 0.7191, Test loss 1.0410, Test Accuracy 0.5448
Epoch 21, Train loss 0.5506 , Train Accuracy 0.7131, Test loss 0.9757, Test Accuracy 0.5522
Epoch 22, Train loss 0.5282 , Train Accuracy 0.7240, Test loss 1.1065, Test Accuracy 0.5411
Epoch 23, Train loss 0.5410 , Train Accuracy 0.7186, Test loss 1.0718, Test Accuracy 0.5437
Epoch 24, Train loss 0.5239 , Train Accuracy 0.7338, Test loss 1.0720, Test Accuracy 0.5443
Epoch 25, Train loss 0.5189 , Train Accuracy 0.7338, Test loss 1.2153, Test Accuracy 0.5437
Epoch 26, Train loss 0.5237 , Train Accuracy 0.7360, Test loss 1.0679, Test Accuracy 0.5379
Epoch 27, Train loss 0.5048 , Train Accuracy 0.7452, Test loss 1.1388, Test Accuracy 0.5400
Epoch 28, Train loss 0.5061 , Train Accuracy 0.7425, Test loss 1.3187, Test Accuracy 0.5395
Epoch 29, Train loss 0.5024 , Train Accuracy 0.7414, Test loss 1.3250, Test Accuracy 0.5353
Epoch 30, Train loss 0.4874 , Train Accuracy 0.7599, Test loss 1.4171, Test Accuracy 0.5348
Epoch 31, Train loss 0.4813 , Train Accuracy 0.7632, Test loss 1.1663, Test Accuracy 0.5285
Epoch 32, Train loss 0.4886 , Train Accuracy 0.7556, Test loss 1.3107, Test Accuracy 0.5348
Epoch 33, Train loss 0.4843 , Train Accuracy 0.7610, Test loss 1.4160, Test Accuracy 0.5369
Epoch 34, Train loss 0.4897 , Train Accuracy 0.7654, Test loss 1.1831, Test Accuracy 0.5300
Epoch 35, Train loss 0.4716 , Train Accuracy 0.7616, Test loss 1.5357, Test Accuracy 0.5279
Epoch 36, Train loss 0.4669 , Train Accuracy 0.7850, Test loss 1.5480, Test Accuracy 0.5300
Epoch 37, Train loss 0.4762 , Train Accuracy 0.7697, Test loss 1.5605, Test Accuracy 0.5316
Epoch 38, Train loss 0.4623 , Train Accuracy 0.7692, Test loss 1.2834, Test Accuracy 0.5111
Epoch 39, Train loss 0.4701 , Train Accuracy 0.7643, Test loss 1.4550, Test Accuracy 0.5274
Epoch 40, Train loss 0.4403 , Train Accuracy 0.7926, Test loss 1.7389, Test Accuracy 0.5253
Epoch 41, Train loss 0.4442 , Train Accuracy 0.7910, Test loss 1.7384, Test Accuracy 0.5300
Epoch 42, Train loss 0.4545 , Train Accuracy 0.7844, Test loss 1.3944, Test Accuracy 0.5100
Epoch 43, Train loss 0.4397 , Train Accuracy 0.7915, Test loss 1.5588, Test Accuracy 0.5195
Epoch 44, Train loss 0.4188 , Train Accuracy 0.8062, Test loss 1.3959, Test Accuracy 0.4995
Epoch 45, Train loss 0.4378 , Train Accuracy 0.7953, Test loss 1.4576, Test Accuracy 0.5037
Epoch 46, Train loss 0.4401 , Train Accuracy 0.7948, Test loss 1.5118, Test Accuracy 0.4947
Epoch 47, Train loss 0.4494 , Train Accuracy 0.7817, Test loss 1.5320, Test Accuracy 0.4979
Epoch 48, Train loss 0.4191 , Train Accuracy 0.8062, Test loss 1.8604, Test Accuracy 0.5148
Epoch 49, Train loss 0.4162 , Train Accuracy 0.8078, Test loss 1.6768, Test Accuracy 0.5026
Epoch 50, Train loss 0.4180 , Train Accuracy 0.8171, Test loss 1.8499, Test Accuracy 0.5126
