tuh_downstream_smallset_tflayers16, freeze 8
Epoch 1, Train loss 0.7110 , Train Accuracy 0.5536, Test loss 0.9705, Test Accuracy 0.5032
Epoch 2, Train loss 0.6796 , Train Accuracy 0.5705, Test loss 0.7701, Test Accuracy 0.4752
Epoch 3, Train loss 0.6427 , Train Accuracy 0.6407, Test loss 0.7795, Test Accuracy 0.4958
Epoch 4, Train loss 0.5990 , Train Accuracy 0.6636, Test loss 0.9846, Test Accuracy 0.5400
Epoch 5, Train loss 0.5845 , Train Accuracy 0.6946, Test loss 0.8743, Test Accuracy 0.5400
Epoch 6, Train loss 0.5807 , Train Accuracy 0.6815, Test loss 0.8813, Test Accuracy 0.5400
Epoch 7, Train loss 0.5567 , Train Accuracy 0.7109, Test loss 1.0480, Test Accuracy 0.5479
Epoch 8, Train loss 0.5539 , Train Accuracy 0.7153, Test loss 0.9646, Test Accuracy 0.5511
Epoch 9, Train loss 0.5496 , Train Accuracy 0.7158, Test loss 1.0437, Test Accuracy 0.5532
Epoch 10, Train loss 0.5344 , Train Accuracy 0.7246, Test loss 1.0282, Test Accuracy 0.5479
Epoch 11, Train loss 0.5212 , Train Accuracy 0.7436, Test loss 1.2834, Test Accuracy 0.5495
Epoch 12, Train loss 0.5239 , Train Accuracy 0.7441, Test loss 1.0452, Test Accuracy 0.5532
Epoch 13, Train loss 0.5130 , Train Accuracy 0.7392, Test loss 1.2970, Test Accuracy 0.5474
Epoch 14, Train loss 0.5058 , Train Accuracy 0.7583, Test loss 1.1067, Test Accuracy 0.5437
Epoch 15, Train loss 0.5009 , Train Accuracy 0.7447, Test loss 1.0703, Test Accuracy 0.5421
Epoch 16, Train loss 0.4963 , Train Accuracy 0.7588, Test loss 1.0324, Test Accuracy 0.5374
Epoch 17, Train loss 0.4974 , Train Accuracy 0.7539, Test loss 1.3309, Test Accuracy 0.5416
Epoch 18, Train loss 0.4904 , Train Accuracy 0.7518, Test loss 1.1932, Test Accuracy 0.5374
Epoch 19, Train loss 0.4835 , Train Accuracy 0.7654, Test loss 1.1276, Test Accuracy 0.5358
Epoch 20, Train loss 0.4657 , Train Accuracy 0.7801, Test loss 1.1987, Test Accuracy 0.5385
Epoch 21, Train loss 0.4788 , Train Accuracy 0.7741, Test loss 1.1445, Test Accuracy 0.5379
Epoch 22, Train loss 0.4629 , Train Accuracy 0.7784, Test loss 1.1950, Test Accuracy 0.5348
Epoch 23, Train loss 0.4663 , Train Accuracy 0.7855, Test loss 1.3364, Test Accuracy 0.5269
Epoch 24, Train loss 0.4620 , Train Accuracy 0.7866, Test loss 1.2958, Test Accuracy 0.5205
Epoch 25, Train loss 0.4519 , Train Accuracy 0.7970, Test loss 1.3385, Test Accuracy 0.5306
Epoch 26, Train loss 0.4463 , Train Accuracy 0.7980, Test loss 1.1767, Test Accuracy 0.5400
Epoch 27, Train loss 0.4311 , Train Accuracy 0.8008, Test loss 1.2316, Test Accuracy 0.5263
Epoch 28, Train loss 0.4315 , Train Accuracy 0.8138, Test loss 1.3548, Test Accuracy 0.5269
Epoch 29, Train loss 0.4311 , Train Accuracy 0.8138, Test loss 1.3798, Test Accuracy 0.5269
Epoch 30, Train loss 0.4255 , Train Accuracy 0.8040, Test loss 1.5679, Test Accuracy 0.5290
Epoch 31, Train loss 0.4121 , Train Accuracy 0.8165, Test loss 1.2378, Test Accuracy 0.5295
Epoch 32, Train loss 0.4298 , Train Accuracy 0.8127, Test loss 1.4502, Test Accuracy 0.5205
Epoch 33, Train loss 0.4132 , Train Accuracy 0.8100, Test loss 1.5422, Test Accuracy 0.5142
Epoch 34, Train loss 0.4093 , Train Accuracy 0.8127, Test loss 1.3713, Test Accuracy 0.5068
Epoch 35, Train loss 0.4088 , Train Accuracy 0.8334, Test loss 1.5865, Test Accuracy 0.5158
Epoch 36, Train loss 0.4053 , Train Accuracy 0.8165, Test loss 1.5718, Test Accuracy 0.5100
Epoch 37, Train loss 0.3973 , Train Accuracy 0.8263, Test loss 1.4831, Test Accuracy 0.5063
Epoch 38, Train loss 0.3965 , Train Accuracy 0.8231, Test loss 1.4059, Test Accuracy 0.5047
Epoch 39, Train loss 0.3984 , Train Accuracy 0.8263, Test loss 1.5869, Test Accuracy 0.5058
Epoch 40, Train loss 0.3843 , Train Accuracy 0.8351, Test loss 1.6973, Test Accuracy 0.5079
Epoch 41, Train loss 0.3788 , Train Accuracy 0.8285, Test loss 1.9257, Test Accuracy 0.5090
Epoch 42, Train loss 0.3951 , Train Accuracy 0.8231, Test loss 1.4242, Test Accuracy 0.5058
Epoch 43, Train loss 0.3794 , Train Accuracy 0.8389, Test loss 1.7158, Test Accuracy 0.5000
Epoch 44, Train loss 0.3765 , Train Accuracy 0.8372, Test loss 1.4256, Test Accuracy 0.4958
Epoch 45, Train loss 0.3799 , Train Accuracy 0.8416, Test loss 1.5937, Test Accuracy 0.4974
Epoch 46, Train loss 0.3745 , Train Accuracy 0.8449, Test loss 1.4183, Test Accuracy 0.5095
Epoch 47, Train loss 0.3661 , Train Accuracy 0.8514, Test loss 1.6320, Test Accuracy 0.4995
Epoch 48, Train loss 0.3706 , Train Accuracy 0.8378, Test loss 1.7689, Test Accuracy 0.4953
Epoch 49, Train loss 0.3720 , Train Accuracy 0.8432, Test loss 1.5691, Test Accuracy 0.4895
Epoch 50, Train loss 0.3671 , Train Accuracy 0.8410, Test loss 1.8080, Test Accuracy 0.4984
