tuh_downstream_smallset_tflayers16, freeze 0
Epoch 1, Train loss 0.7108 , Train Accuracy 0.5542, Test loss 0.9707, Test Accuracy 0.5032
Epoch 2, Train loss 0.6790 , Train Accuracy 0.5716, Test loss 0.7712, Test Accuracy 0.4742
Epoch 3, Train loss 0.6414 , Train Accuracy 0.6434, Test loss 0.7809, Test Accuracy 0.4947
Epoch 4, Train loss 0.5951 , Train Accuracy 0.6696, Test loss 0.9946, Test Accuracy 0.5448
Epoch 5, Train loss 0.5793 , Train Accuracy 0.6935, Test loss 0.8816, Test Accuracy 0.5522
Epoch 6, Train loss 0.5730 , Train Accuracy 0.6957, Test loss 0.8859, Test Accuracy 0.5495
Epoch 7, Train loss 0.5475 , Train Accuracy 0.7186, Test loss 1.0681, Test Accuracy 0.5580
Epoch 8, Train loss 0.5450 , Train Accuracy 0.7191, Test loss 0.9701, Test Accuracy 0.5590
Epoch 9, Train loss 0.5398 , Train Accuracy 0.7218, Test loss 1.0617, Test Accuracy 0.5627
Epoch 10, Train loss 0.5241 , Train Accuracy 0.7295, Test loss 1.0449, Test Accuracy 0.5469
Epoch 11, Train loss 0.5084 , Train Accuracy 0.7507, Test loss 1.3413, Test Accuracy 0.5511
Epoch 12, Train loss 0.5105 , Train Accuracy 0.7501, Test loss 1.0713, Test Accuracy 0.5580
Epoch 13, Train loss 0.4990 , Train Accuracy 0.7556, Test loss 1.3327, Test Accuracy 0.5527
Epoch 14, Train loss 0.4872 , Train Accuracy 0.7714, Test loss 1.1289, Test Accuracy 0.5464
Epoch 15, Train loss 0.4825 , Train Accuracy 0.7643, Test loss 1.0973, Test Accuracy 0.5432
Epoch 16, Train loss 0.4765 , Train Accuracy 0.7768, Test loss 1.0606, Test Accuracy 0.5332
Epoch 17, Train loss 0.4732 , Train Accuracy 0.7741, Test loss 1.3887, Test Accuracy 0.5479
Epoch 18, Train loss 0.4649 , Train Accuracy 0.7708, Test loss 1.2827, Test Accuracy 0.5385
Epoch 19, Train loss 0.4575 , Train Accuracy 0.7872, Test loss 1.1792, Test Accuracy 0.5332
Epoch 20, Train loss 0.4383 , Train Accuracy 0.8008, Test loss 1.2573, Test Accuracy 0.5358
Epoch 21, Train loss 0.4535 , Train Accuracy 0.7893, Test loss 1.2032, Test Accuracy 0.5269
Epoch 22, Train loss 0.4354 , Train Accuracy 0.8019, Test loss 1.2358, Test Accuracy 0.5285
Epoch 23, Train loss 0.4399 , Train Accuracy 0.7975, Test loss 1.3763, Test Accuracy 0.5200
Epoch 24, Train loss 0.4305 , Train Accuracy 0.8095, Test loss 1.4143, Test Accuracy 0.5163
Epoch 25, Train loss 0.4167 , Train Accuracy 0.8225, Test loss 1.4744, Test Accuracy 0.5211
Epoch 26, Train loss 0.4147 , Train Accuracy 0.8247, Test loss 1.2433, Test Accuracy 0.5258
Epoch 27, Train loss 0.3968 , Train Accuracy 0.8214, Test loss 1.3508, Test Accuracy 0.5163
Epoch 28, Train loss 0.3982 , Train Accuracy 0.8312, Test loss 1.4997, Test Accuracy 0.5179
Epoch 29, Train loss 0.3972 , Train Accuracy 0.8312, Test loss 1.4410, Test Accuracy 0.5121
Epoch 30, Train loss 0.3928 , Train Accuracy 0.8236, Test loss 1.7405, Test Accuracy 0.5058
Epoch 31, Train loss 0.3773 , Train Accuracy 0.8329, Test loss 1.3235, Test Accuracy 0.5132
Epoch 32, Train loss 0.3963 , Train Accuracy 0.8351, Test loss 1.5947, Test Accuracy 0.5032
Epoch 33, Train loss 0.3829 , Train Accuracy 0.8187, Test loss 1.7151, Test Accuracy 0.5100
Epoch 34, Train loss 0.3718 , Train Accuracy 0.8389, Test loss 1.4726, Test Accuracy 0.5000
Epoch 35, Train loss 0.3740 , Train Accuracy 0.8443, Test loss 1.7535, Test Accuracy 0.5016
Epoch 36, Train loss 0.3610 , Train Accuracy 0.8481, Test loss 1.7376, Test Accuracy 0.5005
Epoch 37, Train loss 0.3557 , Train Accuracy 0.8443, Test loss 1.7049, Test Accuracy 0.4974
Epoch 38, Train loss 0.3578 , Train Accuracy 0.8541, Test loss 1.5490, Test Accuracy 0.4942
Epoch 39, Train loss 0.3511 , Train Accuracy 0.8552, Test loss 1.7231, Test Accuracy 0.4942
Epoch 40, Train loss 0.3505 , Train Accuracy 0.8563, Test loss 1.8710, Test Accuracy 0.4926
Epoch 41, Train loss 0.3387 , Train Accuracy 0.8579, Test loss 1.9981, Test Accuracy 0.4963
Epoch 42, Train loss 0.3471 , Train Accuracy 0.8563, Test loss 1.6412, Test Accuracy 0.4910
Epoch 43, Train loss 0.3348 , Train Accuracy 0.8634, Test loss 1.9241, Test Accuracy 0.4874
Epoch 44, Train loss 0.3343 , Train Accuracy 0.8596, Test loss 1.6653, Test Accuracy 0.4747
Epoch 45, Train loss 0.3359 , Train Accuracy 0.8596, Test loss 1.7547, Test Accuracy 0.4842
Epoch 46, Train loss 0.3346 , Train Accuracy 0.8710, Test loss 1.6135, Test Accuracy 0.4863
Epoch 47, Train loss 0.3202 , Train Accuracy 0.8694, Test loss 1.8658, Test Accuracy 0.4816
Epoch 48, Train loss 0.3177 , Train Accuracy 0.8737, Test loss 1.9295, Test Accuracy 0.4831
Epoch 49, Train loss 0.3326 , Train Accuracy 0.8699, Test loss 1.8036, Test Accuracy 0.4831
Epoch 50, Train loss 0.3264 , Train Accuracy 0.8596, Test loss 2.1350, Test Accuracy 0.4831
