tuh_downstream_smallset_tflayers20, freeze 8
Epoch 1, Train loss 0.7682 , Train Accuracy 0.5465, Test loss 1.3561, Test Accuracy 0.4995
Epoch 2, Train loss 0.7020 , Train Accuracy 0.5770, Test loss 0.8878, Test Accuracy 0.4621
Epoch 3, Train loss 0.6536 , Train Accuracy 0.6222, Test loss 0.8845, Test Accuracy 0.4642
Epoch 4, Train loss 0.6257 , Train Accuracy 0.6581, Test loss 1.0492, Test Accuracy 0.4852
Epoch 5, Train loss 0.6146 , Train Accuracy 0.6592, Test loss 0.9552, Test Accuracy 0.4547
Epoch 6, Train loss 0.5940 , Train Accuracy 0.6777, Test loss 1.0082, Test Accuracy 0.4684
Epoch 7, Train loss 0.5789 , Train Accuracy 0.6897, Test loss 1.1580, Test Accuracy 0.4884
Epoch 8, Train loss 0.5651 , Train Accuracy 0.7039, Test loss 1.0513, Test Accuracy 0.4631
Epoch 9, Train loss 0.5564 , Train Accuracy 0.7044, Test loss 1.1004, Test Accuracy 0.4779
Epoch 10, Train loss 0.5403 , Train Accuracy 0.7158, Test loss 1.1246, Test Accuracy 0.4763
Epoch 11, Train loss 0.5409 , Train Accuracy 0.7197, Test loss 1.3146, Test Accuracy 0.4989
Epoch 12, Train loss 0.5363 , Train Accuracy 0.7197, Test loss 1.1297, Test Accuracy 0.4689
Epoch 13, Train loss 0.5244 , Train Accuracy 0.7251, Test loss 1.2598, Test Accuracy 0.4942
Epoch 14, Train loss 0.5342 , Train Accuracy 0.7229, Test loss 1.2082, Test Accuracy 0.4768
Epoch 15, Train loss 0.5147 , Train Accuracy 0.7452, Test loss 1.1947, Test Accuracy 0.4731
Epoch 16, Train loss 0.5124 , Train Accuracy 0.7534, Test loss 1.2042, Test Accuracy 0.4705
Epoch 17, Train loss 0.4987 , Train Accuracy 0.7534, Test loss 1.3196, Test Accuracy 0.4984
Epoch 18, Train loss 0.5150 , Train Accuracy 0.7420, Test loss 1.2564, Test Accuracy 0.4879
Epoch 19, Train loss 0.4996 , Train Accuracy 0.7654, Test loss 1.2181, Test Accuracy 0.4726
Epoch 20, Train loss 0.4849 , Train Accuracy 0.7643, Test loss 1.2649, Test Accuracy 0.4910
Epoch 21, Train loss 0.4988 , Train Accuracy 0.7643, Test loss 1.2318, Test Accuracy 0.4763
Epoch 22, Train loss 0.4888 , Train Accuracy 0.7594, Test loss 1.2513, Test Accuracy 0.4795
Epoch 23, Train loss 0.4834 , Train Accuracy 0.7670, Test loss 1.3423, Test Accuracy 0.4974
Epoch 24, Train loss 0.4827 , Train Accuracy 0.7774, Test loss 1.3162, Test Accuracy 0.4926
Epoch 25, Train loss 0.4649 , Train Accuracy 0.7812, Test loss 1.3239, Test Accuracy 0.4831
Epoch 26, Train loss 0.4737 , Train Accuracy 0.7697, Test loss 1.3106, Test Accuracy 0.4810
Epoch 27, Train loss 0.4766 , Train Accuracy 0.7676, Test loss 1.3496, Test Accuracy 0.4921
Epoch 28, Train loss 0.4583 , Train Accuracy 0.7839, Test loss 1.4125, Test Accuracy 0.4942
Epoch 29, Train loss 0.4693 , Train Accuracy 0.7681, Test loss 1.3956, Test Accuracy 0.4895
Epoch 30, Train loss 0.4721 , Train Accuracy 0.7806, Test loss 1.5625, Test Accuracy 0.4947
Epoch 31, Train loss 0.4642 , Train Accuracy 0.7893, Test loss 1.3135, Test Accuracy 0.4895
Epoch 32, Train loss 0.4570 , Train Accuracy 0.7855, Test loss 1.4450, Test Accuracy 0.4979
Epoch 33, Train loss 0.4637 , Train Accuracy 0.7866, Test loss 1.4108, Test Accuracy 0.4958
Epoch 34, Train loss 0.4525 , Train Accuracy 0.7833, Test loss 1.3623, Test Accuracy 0.4852
Epoch 35, Train loss 0.4534 , Train Accuracy 0.7959, Test loss 1.4249, Test Accuracy 0.4932
Epoch 36, Train loss 0.4528 , Train Accuracy 0.7855, Test loss 1.4198, Test Accuracy 0.4900
Epoch 37, Train loss 0.4488 , Train Accuracy 0.7893, Test loss 1.5020, Test Accuracy 0.4895
Epoch 38, Train loss 0.4358 , Train Accuracy 0.7937, Test loss 1.3550, Test Accuracy 0.4837
Epoch 39, Train loss 0.4638 , Train Accuracy 0.7784, Test loss 1.4998, Test Accuracy 0.4958
Epoch 40, Train loss 0.4365 , Train Accuracy 0.7997, Test loss 1.5781, Test Accuracy 0.4910
Epoch 41, Train loss 0.4406 , Train Accuracy 0.7790, Test loss 1.6408, Test Accuracy 0.4968
Epoch 42, Train loss 0.4425 , Train Accuracy 0.7915, Test loss 1.3858, Test Accuracy 0.4932
Epoch 43, Train loss 0.4375 , Train Accuracy 0.7986, Test loss 1.4327, Test Accuracy 0.4910
Epoch 44, Train loss 0.4525 , Train Accuracy 0.7888, Test loss 1.3780, Test Accuracy 0.4874
Epoch 45, Train loss 0.4326 , Train Accuracy 0.7893, Test loss 1.4290, Test Accuracy 0.4921
Epoch 46, Train loss 0.4380 , Train Accuracy 0.8019, Test loss 1.3694, Test Accuracy 0.4942
Epoch 47, Train loss 0.4425 , Train Accuracy 0.7877, Test loss 1.4209, Test Accuracy 0.4826
Epoch 48, Train loss 0.4387 , Train Accuracy 0.7980, Test loss 1.4285, Test Accuracy 0.4937
Epoch 49, Train loss 0.4298 , Train Accuracy 0.8106, Test loss 1.4340, Test Accuracy 0.4826
Epoch 50, Train loss 0.4268 , Train Accuracy 0.8002, Test loss 1.6706, Test Accuracy 0.4926
