tuh_downstream_smallset_tflayers20, freeze 12
Epoch 1, Train loss 0.7683 , Train Accuracy 0.5460, Test loss 1.3563, Test Accuracy 0.4995
Epoch 2, Train loss 0.7022 , Train Accuracy 0.5776, Test loss 0.8879, Test Accuracy 0.4615
Epoch 3, Train loss 0.6540 , Train Accuracy 0.6189, Test loss 0.8841, Test Accuracy 0.4626
Epoch 4, Train loss 0.6263 , Train Accuracy 0.6587, Test loss 1.0488, Test Accuracy 0.4868
Epoch 5, Train loss 0.6154 , Train Accuracy 0.6587, Test loss 0.9551, Test Accuracy 0.4547
Epoch 6, Train loss 0.5950 , Train Accuracy 0.6750, Test loss 1.0077, Test Accuracy 0.4694
Epoch 7, Train loss 0.5799 , Train Accuracy 0.6886, Test loss 1.1582, Test Accuracy 0.4879
Epoch 8, Train loss 0.5665 , Train Accuracy 0.7033, Test loss 1.0499, Test Accuracy 0.4652
Epoch 9, Train loss 0.5579 , Train Accuracy 0.7039, Test loss 1.0999, Test Accuracy 0.4779
Epoch 10, Train loss 0.5416 , Train Accuracy 0.7153, Test loss 1.1222, Test Accuracy 0.4773
Epoch 11, Train loss 0.5421 , Train Accuracy 0.7224, Test loss 1.3138, Test Accuracy 0.5037
Epoch 12, Train loss 0.5373 , Train Accuracy 0.7175, Test loss 1.1276, Test Accuracy 0.4684
Epoch 13, Train loss 0.5257 , Train Accuracy 0.7273, Test loss 1.2570, Test Accuracy 0.4916
Epoch 14, Train loss 0.5359 , Train Accuracy 0.7202, Test loss 1.2078, Test Accuracy 0.4784
Epoch 15, Train loss 0.5160 , Train Accuracy 0.7425, Test loss 1.1912, Test Accuracy 0.4726
Epoch 16, Train loss 0.5133 , Train Accuracy 0.7545, Test loss 1.2023, Test Accuracy 0.4668
Epoch 17, Train loss 0.5002 , Train Accuracy 0.7518, Test loss 1.3115, Test Accuracy 0.4958
Epoch 18, Train loss 0.5170 , Train Accuracy 0.7420, Test loss 1.2518, Test Accuracy 0.4868
Epoch 19, Train loss 0.5015 , Train Accuracy 0.7670, Test loss 1.2161, Test Accuracy 0.4747
Epoch 20, Train loss 0.4865 , Train Accuracy 0.7648, Test loss 1.2592, Test Accuracy 0.4852
Epoch 21, Train loss 0.5001 , Train Accuracy 0.7627, Test loss 1.2312, Test Accuracy 0.4758
Epoch 22, Train loss 0.4909 , Train Accuracy 0.7578, Test loss 1.2489, Test Accuracy 0.4795
Epoch 23, Train loss 0.4854 , Train Accuracy 0.7648, Test loss 1.3430, Test Accuracy 0.4995
Epoch 24, Train loss 0.4853 , Train Accuracy 0.7746, Test loss 1.3144, Test Accuracy 0.4910
Epoch 25, Train loss 0.4672 , Train Accuracy 0.7801, Test loss 1.3217, Test Accuracy 0.4837
Epoch 26, Train loss 0.4752 , Train Accuracy 0.7714, Test loss 1.3053, Test Accuracy 0.4810
Epoch 27, Train loss 0.4785 , Train Accuracy 0.7676, Test loss 1.3433, Test Accuracy 0.4889
Epoch 28, Train loss 0.4602 , Train Accuracy 0.7806, Test loss 1.3983, Test Accuracy 0.4958
Epoch 29, Train loss 0.4714 , Train Accuracy 0.7692, Test loss 1.3908, Test Accuracy 0.4947
Epoch 30, Train loss 0.4742 , Train Accuracy 0.7801, Test loss 1.5505, Test Accuracy 0.4947
Epoch 31, Train loss 0.4664 , Train Accuracy 0.7910, Test loss 1.3071, Test Accuracy 0.4895
Epoch 32, Train loss 0.4595 , Train Accuracy 0.7855, Test loss 1.4300, Test Accuracy 0.4989
Epoch 33, Train loss 0.4664 , Train Accuracy 0.7828, Test loss 1.4043, Test Accuracy 0.5016
Epoch 34, Train loss 0.4558 , Train Accuracy 0.7812, Test loss 1.3577, Test Accuracy 0.4847
Epoch 35, Train loss 0.4568 , Train Accuracy 0.7931, Test loss 1.4125, Test Accuracy 0.4942
Epoch 36, Train loss 0.4557 , Train Accuracy 0.7844, Test loss 1.4075, Test Accuracy 0.4942
Epoch 37, Train loss 0.4522 , Train Accuracy 0.7915, Test loss 1.4894, Test Accuracy 0.4953
Epoch 38, Train loss 0.4392 , Train Accuracy 0.7904, Test loss 1.3468, Test Accuracy 0.4831
Epoch 39, Train loss 0.4663 , Train Accuracy 0.7823, Test loss 1.4908, Test Accuracy 0.4968
Epoch 40, Train loss 0.4404 , Train Accuracy 0.7964, Test loss 1.5686, Test Accuracy 0.4926
Epoch 41, Train loss 0.4441 , Train Accuracy 0.7784, Test loss 1.6228, Test Accuracy 0.5011
Epoch 42, Train loss 0.4462 , Train Accuracy 0.7882, Test loss 1.3776, Test Accuracy 0.4916
Epoch 43, Train loss 0.4405 , Train Accuracy 0.7970, Test loss 1.4221, Test Accuracy 0.4942
Epoch 44, Train loss 0.4567 , Train Accuracy 0.7828, Test loss 1.3697, Test Accuracy 0.4889
Epoch 45, Train loss 0.4360 , Train Accuracy 0.7915, Test loss 1.4143, Test Accuracy 0.4932
Epoch 46, Train loss 0.4415 , Train Accuracy 0.7975, Test loss 1.3624, Test Accuracy 0.4916
Epoch 47, Train loss 0.4456 , Train Accuracy 0.7931, Test loss 1.4100, Test Accuracy 0.4826
Epoch 48, Train loss 0.4423 , Train Accuracy 0.7937, Test loss 1.4134, Test Accuracy 0.4910
Epoch 49, Train loss 0.4331 , Train Accuracy 0.8089, Test loss 1.4136, Test Accuracy 0.4858
Epoch 50, Train loss 0.4319 , Train Accuracy 0.7991, Test loss 1.6479, Test Accuracy 0.4932
