tuh_downstream_smallset_tflayers4, freeze 4
Epoch 1, Train loss 0.7271 , Train Accuracy 0.4937, Test loss 0.8657, Test Accuracy 0.5000
Epoch 2, Train loss 0.7101 , Train Accuracy 0.5177, Test loss 0.6807, Test Accuracy 0.5537
Epoch 3, Train loss 0.6823 , Train Accuracy 0.5689, Test loss 0.6759, Test Accuracy 0.5732
Epoch 4, Train loss 0.6720 , Train Accuracy 0.5814, Test loss 0.8276, Test Accuracy 0.4989
Epoch 5, Train loss 0.6549 , Train Accuracy 0.6097, Test loss 0.6944, Test Accuracy 0.5975
Epoch 6, Train loss 0.6540 , Train Accuracy 0.6151, Test loss 0.7074, Test Accuracy 0.5854
Epoch 7, Train loss 0.6362 , Train Accuracy 0.6238, Test loss 0.9847, Test Accuracy 0.4963
Epoch 8, Train loss 0.6182 , Train Accuracy 0.6538, Test loss 0.7828, Test Accuracy 0.5738
Epoch 9, Train loss 0.6192 , Train Accuracy 0.6505, Test loss 0.7884, Test Accuracy 0.5827
Epoch 10, Train loss 0.6071 , Train Accuracy 0.6658, Test loss 0.8084, Test Accuracy 0.5906
Epoch 11, Train loss 0.6035 , Train Accuracy 0.6641, Test loss 1.0651, Test Accuracy 0.5158
Epoch 12, Train loss 0.5926 , Train Accuracy 0.6696, Test loss 0.8249, Test Accuracy 0.5943
Epoch 13, Train loss 0.5735 , Train Accuracy 0.6984, Test loss 1.1876, Test Accuracy 0.5227
Epoch 14, Train loss 0.5751 , Train Accuracy 0.6826, Test loss 0.9015, Test Accuracy 0.5901
Epoch 15, Train loss 0.5624 , Train Accuracy 0.7028, Test loss 0.8812, Test Accuracy 0.5843
Epoch 16, Train loss 0.5516 , Train Accuracy 0.7131, Test loss 0.9026, Test Accuracy 0.5611
Epoch 17, Train loss 0.5465 , Train Accuracy 0.7202, Test loss 1.1419, Test Accuracy 0.5416
Epoch 18, Train loss 0.5321 , Train Accuracy 0.7267, Test loss 1.2502, Test Accuracy 0.5379
Epoch 19, Train loss 0.5347 , Train Accuracy 0.7120, Test loss 1.0015, Test Accuracy 0.5601
Epoch 20, Train loss 0.5156 , Train Accuracy 0.7436, Test loss 1.0335, Test Accuracy 0.5511
Epoch 21, Train loss 0.4994 , Train Accuracy 0.7588, Test loss 1.0519, Test Accuracy 0.5169
Epoch 22, Train loss 0.4955 , Train Accuracy 0.7578, Test loss 1.1250, Test Accuracy 0.5390
Epoch 23, Train loss 0.4912 , Train Accuracy 0.7578, Test loss 1.4472, Test Accuracy 0.5285
Epoch 24, Train loss 0.4612 , Train Accuracy 0.7839, Test loss 1.2888, Test Accuracy 0.5242
Epoch 25, Train loss 0.4700 , Train Accuracy 0.7806, Test loss 1.5783, Test Accuracy 0.5200
Epoch 26, Train loss 0.4582 , Train Accuracy 0.7872, Test loss 1.3775, Test Accuracy 0.4995
Epoch 27, Train loss 0.4384 , Train Accuracy 0.8019, Test loss 1.4203, Test Accuracy 0.5095
Epoch 28, Train loss 0.4346 , Train Accuracy 0.8122, Test loss 1.6484, Test Accuracy 0.5016
Epoch 29, Train loss 0.4203 , Train Accuracy 0.8100, Test loss 1.7605, Test Accuracy 0.5005
Epoch 30, Train loss 0.4197 , Train Accuracy 0.8084, Test loss 1.9856, Test Accuracy 0.4968
Epoch 31, Train loss 0.3994 , Train Accuracy 0.8253, Test loss 1.5568, Test Accuracy 0.4763
Epoch 32, Train loss 0.3874 , Train Accuracy 0.8253, Test loss 1.8134, Test Accuracy 0.4795
Epoch 33, Train loss 0.3825 , Train Accuracy 0.8329, Test loss 1.8625, Test Accuracy 0.4689
Epoch 34, Train loss 0.3668 , Train Accuracy 0.8410, Test loss 2.2195, Test Accuracy 0.4636
Epoch 35, Train loss 0.3596 , Train Accuracy 0.8557, Test loss 2.4321, Test Accuracy 0.4594
Epoch 36, Train loss 0.3520 , Train Accuracy 0.8563, Test loss 2.1837, Test Accuracy 0.4357
Epoch 37, Train loss 0.3426 , Train Accuracy 0.8634, Test loss 2.1930, Test Accuracy 0.4378
Epoch 38, Train loss 0.3382 , Train Accuracy 0.8655, Test loss 2.3448, Test Accuracy 0.4336
Epoch 39, Train loss 0.3214 , Train Accuracy 0.8688, Test loss 2.1954, Test Accuracy 0.4294
Epoch 40, Train loss 0.3088 , Train Accuracy 0.8770, Test loss 3.0042, Test Accuracy 0.4336
Epoch 41, Train loss 0.3010 , Train Accuracy 0.8857, Test loss 3.5616, Test Accuracy 0.4420
Epoch 42, Train loss 0.3052 , Train Accuracy 0.8770, Test loss 2.4333, Test Accuracy 0.4057
Epoch 43, Train loss 0.3058 , Train Accuracy 0.8819, Test loss 3.5115, Test Accuracy 0.4247
Epoch 44, Train loss 0.2964 , Train Accuracy 0.8900, Test loss 3.0791, Test Accuracy 0.4104
Epoch 45, Train loss 0.2820 , Train Accuracy 0.8933, Test loss 2.8984, Test Accuracy 0.4115
Epoch 46, Train loss 0.2877 , Train Accuracy 0.8884, Test loss 2.5103, Test Accuracy 0.4031
Epoch 47, Train loss 0.2800 , Train Accuracy 0.8922, Test loss 3.1428, Test Accuracy 0.3962
Epoch 48, Train loss 0.2576 , Train Accuracy 0.8987, Test loss 4.3986, Test Accuracy 0.4199
Epoch 49, Train loss 0.2940 , Train Accuracy 0.8841, Test loss 2.8461, Test Accuracy 0.3909
Epoch 50, Train loss 0.2671 , Train Accuracy 0.8917, Test loss 3.6435, Test Accuracy 0.4062
