tuh_downstream_smallset_tflayers4, freeze 0
Epoch 1, Train loss 0.7272 , Train Accuracy 0.4921, Test loss 0.8628, Test Accuracy 0.4995
Epoch 2, Train loss 0.7105 , Train Accuracy 0.5204, Test loss 0.6784, Test Accuracy 0.5664
Epoch 3, Train loss 0.6837 , Train Accuracy 0.5580, Test loss 0.6738, Test Accuracy 0.5811
Epoch 4, Train loss 0.6713 , Train Accuracy 0.5852, Test loss 0.8216, Test Accuracy 0.4984
Epoch 5, Train loss 0.6570 , Train Accuracy 0.6059, Test loss 0.6920, Test Accuracy 0.6027
Epoch 6, Train loss 0.6554 , Train Accuracy 0.6173, Test loss 0.7099, Test Accuracy 0.5880
Epoch 7, Train loss 0.6353 , Train Accuracy 0.6271, Test loss 0.9621, Test Accuracy 0.4989
Epoch 8, Train loss 0.6204 , Train Accuracy 0.6554, Test loss 0.7730, Test Accuracy 0.5748
Epoch 9, Train loss 0.6213 , Train Accuracy 0.6489, Test loss 0.7874, Test Accuracy 0.5890
Epoch 10, Train loss 0.6083 , Train Accuracy 0.6603, Test loss 0.8184, Test Accuracy 0.5817
Epoch 11, Train loss 0.6008 , Train Accuracy 0.6652, Test loss 1.1017, Test Accuracy 0.5090
Epoch 12, Train loss 0.5935 , Train Accuracy 0.6647, Test loss 0.8395, Test Accuracy 0.5938
Epoch 13, Train loss 0.5741 , Train Accuracy 0.6984, Test loss 1.2116, Test Accuracy 0.5248
Epoch 14, Train loss 0.5746 , Train Accuracy 0.6848, Test loss 0.9166, Test Accuracy 0.5811
Epoch 15, Train loss 0.5614 , Train Accuracy 0.7001, Test loss 0.8910, Test Accuracy 0.5727
Epoch 16, Train loss 0.5528 , Train Accuracy 0.7082, Test loss 0.9184, Test Accuracy 0.5569
Epoch 17, Train loss 0.5497 , Train Accuracy 0.7137, Test loss 1.1225, Test Accuracy 0.5400
Epoch 18, Train loss 0.5326 , Train Accuracy 0.7300, Test loss 1.2126, Test Accuracy 0.5390
Epoch 19, Train loss 0.5330 , Train Accuracy 0.7175, Test loss 0.9759, Test Accuracy 0.5469
Epoch 20, Train loss 0.5183 , Train Accuracy 0.7387, Test loss 1.0092, Test Accuracy 0.5416
Epoch 21, Train loss 0.4962 , Train Accuracy 0.7632, Test loss 1.0533, Test Accuracy 0.5179
Epoch 22, Train loss 0.4934 , Train Accuracy 0.7588, Test loss 1.1145, Test Accuracy 0.5300
Epoch 23, Train loss 0.4884 , Train Accuracy 0.7599, Test loss 1.4235, Test Accuracy 0.5153
Epoch 24, Train loss 0.4630 , Train Accuracy 0.7850, Test loss 1.2257, Test Accuracy 0.5148
Epoch 25, Train loss 0.4696 , Train Accuracy 0.7850, Test loss 1.5666, Test Accuracy 0.5179
Epoch 26, Train loss 0.4517 , Train Accuracy 0.7926, Test loss 1.3959, Test Accuracy 0.4921
Epoch 27, Train loss 0.4303 , Train Accuracy 0.8040, Test loss 1.3755, Test Accuracy 0.5047
Epoch 28, Train loss 0.4264 , Train Accuracy 0.8187, Test loss 1.6429, Test Accuracy 0.4989
Epoch 29, Train loss 0.4170 , Train Accuracy 0.8057, Test loss 1.7392, Test Accuracy 0.4921
Epoch 30, Train loss 0.4166 , Train Accuracy 0.8095, Test loss 2.0690, Test Accuracy 0.4768
Epoch 31, Train loss 0.3926 , Train Accuracy 0.8285, Test loss 1.5653, Test Accuracy 0.4747
Epoch 32, Train loss 0.3764 , Train Accuracy 0.8378, Test loss 1.8640, Test Accuracy 0.4668
Epoch 33, Train loss 0.3755 , Train Accuracy 0.8421, Test loss 1.9493, Test Accuracy 0.4636
Epoch 34, Train loss 0.3555 , Train Accuracy 0.8465, Test loss 2.4041, Test Accuracy 0.4468
Epoch 35, Train loss 0.3480 , Train Accuracy 0.8590, Test loss 2.6395, Test Accuracy 0.4447
Epoch 36, Train loss 0.3372 , Train Accuracy 0.8612, Test loss 2.3866, Test Accuracy 0.4173
Epoch 37, Train loss 0.3263 , Train Accuracy 0.8694, Test loss 2.4177, Test Accuracy 0.4199
Epoch 38, Train loss 0.3248 , Train Accuracy 0.8710, Test loss 2.7993, Test Accuracy 0.4273
Epoch 39, Train loss 0.3092 , Train Accuracy 0.8808, Test loss 2.5123, Test Accuracy 0.4009
Epoch 40, Train loss 0.2949 , Train Accuracy 0.8879, Test loss 3.5550, Test Accuracy 0.4273
Epoch 41, Train loss 0.2851 , Train Accuracy 0.8949, Test loss 4.0663, Test Accuracy 0.4362
Epoch 42, Train loss 0.2875 , Train Accuracy 0.8889, Test loss 2.9090, Test Accuracy 0.4036
Epoch 43, Train loss 0.2866 , Train Accuracy 0.8889, Test loss 3.7926, Test Accuracy 0.4226
Epoch 44, Train loss 0.2814 , Train Accuracy 0.8906, Test loss 3.5191, Test Accuracy 0.4131
Epoch 45, Train loss 0.2592 , Train Accuracy 0.9026, Test loss 3.3766, Test Accuracy 0.4036
Epoch 46, Train loss 0.2765 , Train Accuracy 0.8955, Test loss 2.9348, Test Accuracy 0.3894
Epoch 47, Train loss 0.2657 , Train Accuracy 0.8977, Test loss 3.7773, Test Accuracy 0.3978
Epoch 48, Train loss 0.2461 , Train Accuracy 0.9075, Test loss 4.9515, Test Accuracy 0.4215
Epoch 49, Train loss 0.2776 , Train Accuracy 0.8977, Test loss 3.4352, Test Accuracy 0.3936
Epoch 50, Train loss 0.2523 , Train Accuracy 0.9009, Test loss 4.4047, Test Accuracy 0.4125
