tuh_downstream_smallset_tflayers8, freeze 8
Epoch 1, Train loss 0.7301 , Train Accuracy 0.5128, Test loss 0.9169, Test Accuracy 0.5026
Epoch 2, Train loss 0.6991 , Train Accuracy 0.5406, Test loss 0.6798, Test Accuracy 0.5817
Epoch 3, Train loss 0.6741 , Train Accuracy 0.5841, Test loss 0.6929, Test Accuracy 0.5959
Epoch 4, Train loss 0.6605 , Train Accuracy 0.5966, Test loss 1.0130, Test Accuracy 0.4984
Epoch 5, Train loss 0.6523 , Train Accuracy 0.6157, Test loss 0.7424, Test Accuracy 0.5753
Epoch 6, Train loss 0.6498 , Train Accuracy 0.6233, Test loss 0.7354, Test Accuracy 0.5880
Epoch 7, Train loss 0.6329 , Train Accuracy 0.6189, Test loss 0.9523, Test Accuracy 0.5237
Epoch 8, Train loss 0.6255 , Train Accuracy 0.6445, Test loss 0.8006, Test Accuracy 0.5769
Epoch 9, Train loss 0.6209 , Train Accuracy 0.6402, Test loss 0.8031, Test Accuracy 0.5790
Epoch 10, Train loss 0.6096 , Train Accuracy 0.6554, Test loss 0.8935, Test Accuracy 0.5616
Epoch 11, Train loss 0.6313 , Train Accuracy 0.6380, Test loss 0.8592, Test Accuracy 0.5732
Epoch 12, Train loss 0.6166 , Train Accuracy 0.6500, Test loss 0.8245, Test Accuracy 0.5785
Epoch 13, Train loss 0.5990 , Train Accuracy 0.6674, Test loss 0.9911, Test Accuracy 0.5506
Epoch 14, Train loss 0.6176 , Train Accuracy 0.6467, Test loss 0.8767, Test Accuracy 0.5638
Epoch 15, Train loss 0.5952 , Train Accuracy 0.6761, Test loss 0.8348, Test Accuracy 0.5743
Epoch 16, Train loss 0.5787 , Train Accuracy 0.6881, Test loss 0.8310, Test Accuracy 0.5632
Epoch 17, Train loss 0.5799 , Train Accuracy 0.6837, Test loss 1.0088, Test Accuracy 0.5527
Epoch 18, Train loss 0.5741 , Train Accuracy 0.6832, Test loss 1.0673, Test Accuracy 0.5479
Epoch 19, Train loss 0.5694 , Train Accuracy 0.6903, Test loss 0.9136, Test Accuracy 0.5558
Epoch 20, Train loss 0.5484 , Train Accuracy 0.7235, Test loss 1.0279, Test Accuracy 0.5485
Epoch 21, Train loss 0.5545 , Train Accuracy 0.7115, Test loss 0.9644, Test Accuracy 0.5558
Epoch 22, Train loss 0.5324 , Train Accuracy 0.7207, Test loss 1.1026, Test Accuracy 0.5411
Epoch 23, Train loss 0.5441 , Train Accuracy 0.7218, Test loss 1.0806, Test Accuracy 0.5427
Epoch 24, Train loss 0.5280 , Train Accuracy 0.7322, Test loss 1.0739, Test Accuracy 0.5464
Epoch 25, Train loss 0.5224 , Train Accuracy 0.7295, Test loss 1.2089, Test Accuracy 0.5437
Epoch 26, Train loss 0.5259 , Train Accuracy 0.7338, Test loss 1.0606, Test Accuracy 0.5427
Epoch 27, Train loss 0.5091 , Train Accuracy 0.7425, Test loss 1.1488, Test Accuracy 0.5400
Epoch 28, Train loss 0.5128 , Train Accuracy 0.7409, Test loss 1.3109, Test Accuracy 0.5437
Epoch 29, Train loss 0.5048 , Train Accuracy 0.7441, Test loss 1.2970, Test Accuracy 0.5395
Epoch 30, Train loss 0.4952 , Train Accuracy 0.7594, Test loss 1.3755, Test Accuracy 0.5364
Epoch 31, Train loss 0.4846 , Train Accuracy 0.7621, Test loss 1.1296, Test Accuracy 0.5353
Epoch 32, Train loss 0.4929 , Train Accuracy 0.7523, Test loss 1.2778, Test Accuracy 0.5416
Epoch 33, Train loss 0.4910 , Train Accuracy 0.7507, Test loss 1.3988, Test Accuracy 0.5443
Epoch 34, Train loss 0.4950 , Train Accuracy 0.7605, Test loss 1.1597, Test Accuracy 0.5342
Epoch 35, Train loss 0.4781 , Train Accuracy 0.7627, Test loss 1.5276, Test Accuracy 0.5311
Epoch 36, Train loss 0.4728 , Train Accuracy 0.7801, Test loss 1.5071, Test Accuracy 0.5321
Epoch 37, Train loss 0.4811 , Train Accuracy 0.7703, Test loss 1.5051, Test Accuracy 0.5332
Epoch 38, Train loss 0.4678 , Train Accuracy 0.7708, Test loss 1.2534, Test Accuracy 0.5216
Epoch 39, Train loss 0.4778 , Train Accuracy 0.7643, Test loss 1.4320, Test Accuracy 0.5285
Epoch 40, Train loss 0.4477 , Train Accuracy 0.7790, Test loss 1.6800, Test Accuracy 0.5295
Epoch 41, Train loss 0.4517 , Train Accuracy 0.7882, Test loss 1.6338, Test Accuracy 0.5279
Epoch 42, Train loss 0.4602 , Train Accuracy 0.7784, Test loss 1.3312, Test Accuracy 0.5126
Epoch 43, Train loss 0.4451 , Train Accuracy 0.7904, Test loss 1.4469, Test Accuracy 0.5142
Epoch 44, Train loss 0.4297 , Train Accuracy 0.7931, Test loss 1.3575, Test Accuracy 0.5032
Epoch 45, Train loss 0.4446 , Train Accuracy 0.7806, Test loss 1.3977, Test Accuracy 0.5116
Epoch 46, Train loss 0.4478 , Train Accuracy 0.7888, Test loss 1.4456, Test Accuracy 0.5021
Epoch 47, Train loss 0.4543 , Train Accuracy 0.7779, Test loss 1.4667, Test Accuracy 0.5068
Epoch 48, Train loss 0.4284 , Train Accuracy 0.7942, Test loss 1.7546, Test Accuracy 0.5190
Epoch 49, Train loss 0.4249 , Train Accuracy 0.8019, Test loss 1.6028, Test Accuracy 0.5084
Epoch 50, Train loss 0.4247 , Train Accuracy 0.8046, Test loss 1.7336, Test Accuracy 0.5153
