tuh_downstream_smallset_tflayers12, freeze 8
Epoch 1, Train loss 0.7283 , Train Accuracy 0.5128, Test loss 1.1435, Test Accuracy 0.5000
Epoch 2, Train loss 0.7114 , Train Accuracy 0.5395, Test loss 0.7216, Test Accuracy 0.5316
Epoch 3, Train loss 0.6805 , Train Accuracy 0.5781, Test loss 0.7000, Test Accuracy 0.5564
Epoch 4, Train loss 0.6638 , Train Accuracy 0.5993, Test loss 0.9437, Test Accuracy 0.5111
Epoch 5, Train loss 0.6653 , Train Accuracy 0.6091, Test loss 0.7231, Test Accuracy 0.5474
Epoch 6, Train loss 0.6630 , Train Accuracy 0.6195, Test loss 0.6943, Test Accuracy 0.5711
Epoch 7, Train loss 0.6562 , Train Accuracy 0.6081, Test loss 0.8399, Test Accuracy 0.5374
Epoch 8, Train loss 0.6475 , Train Accuracy 0.6298, Test loss 0.7207, Test Accuracy 0.5743
Epoch 9, Train loss 0.6496 , Train Accuracy 0.6331, Test loss 0.7327, Test Accuracy 0.5785
Epoch 10, Train loss 0.6332 , Train Accuracy 0.6429, Test loss 0.7299, Test Accuracy 0.5785
Epoch 11, Train loss 0.6444 , Train Accuracy 0.6271, Test loss 0.8864, Test Accuracy 0.5437
Epoch 12, Train loss 0.6456 , Train Accuracy 0.6173, Test loss 0.7286, Test Accuracy 0.5796
Epoch 13, Train loss 0.6254 , Train Accuracy 0.6565, Test loss 1.0447, Test Accuracy 0.5216
Epoch 14, Train loss 0.6171 , Train Accuracy 0.6603, Test loss 0.7942, Test Accuracy 0.5796
Epoch 15, Train loss 0.6154 , Train Accuracy 0.6658, Test loss 0.7799, Test Accuracy 0.5838
Epoch 16, Train loss 0.6151 , Train Accuracy 0.6560, Test loss 0.7677, Test Accuracy 0.5569
Epoch 17, Train loss 0.6110 , Train Accuracy 0.6712, Test loss 0.8810, Test Accuracy 0.5690
Epoch 18, Train loss 0.6244 , Train Accuracy 0.6543, Test loss 0.8370, Test Accuracy 0.5838
Epoch 19, Train loss 0.6230 , Train Accuracy 0.6587, Test loss 0.7652, Test Accuracy 0.5753
Epoch 20, Train loss 0.5908 , Train Accuracy 0.6875, Test loss 0.8147, Test Accuracy 0.5848
Epoch 21, Train loss 0.6077 , Train Accuracy 0.6854, Test loss 0.7828, Test Accuracy 0.5695
Epoch 22, Train loss 0.6011 , Train Accuracy 0.6739, Test loss 0.8743, Test Accuracy 0.5811
Epoch 23, Train loss 0.5998 , Train Accuracy 0.6685, Test loss 0.9774, Test Accuracy 0.5664
Epoch 24, Train loss 0.5864 , Train Accuracy 0.6919, Test loss 0.8797, Test Accuracy 0.5796
Epoch 25, Train loss 0.5863 , Train Accuracy 0.6788, Test loss 0.9331, Test Accuracy 0.5743
Epoch 26, Train loss 0.5868 , Train Accuracy 0.6870, Test loss 0.9335, Test Accuracy 0.5759
Epoch 27, Train loss 0.5681 , Train Accuracy 0.6924, Test loss 0.9361, Test Accuracy 0.5801
Epoch 28, Train loss 0.5726 , Train Accuracy 0.6941, Test loss 1.0654, Test Accuracy 0.5701
Epoch 29, Train loss 0.5851 , Train Accuracy 0.6924, Test loss 1.1609, Test Accuracy 0.5632
Epoch 30, Train loss 0.5820 , Train Accuracy 0.6886, Test loss 1.2763, Test Accuracy 0.5406
Epoch 31, Train loss 0.5744 , Train Accuracy 0.7082, Test loss 0.8353, Test Accuracy 0.5864
Epoch 32, Train loss 0.5877 , Train Accuracy 0.6968, Test loss 1.0810, Test Accuracy 0.5722
Epoch 33, Train loss 0.5652 , Train Accuracy 0.7006, Test loss 1.3716, Test Accuracy 0.5311
Epoch 34, Train loss 0.5748 , Train Accuracy 0.6968, Test loss 1.0284, Test Accuracy 0.5669
Epoch 35, Train loss 0.5705 , Train Accuracy 0.7099, Test loss 1.2014, Test Accuracy 0.5485
Epoch 36, Train loss 0.5633 , Train Accuracy 0.7246, Test loss 1.1259, Test Accuracy 0.5685
Epoch 37, Train loss 0.5737 , Train Accuracy 0.6995, Test loss 1.3355, Test Accuracy 0.5385
Epoch 38, Train loss 0.5500 , Train Accuracy 0.7289, Test loss 0.8784, Test Accuracy 0.5764
Epoch 39, Train loss 0.5666 , Train Accuracy 0.7039, Test loss 1.2364, Test Accuracy 0.5574
Epoch 40, Train loss 0.5583 , Train Accuracy 0.7202, Test loss 1.3763, Test Accuracy 0.5421
Epoch 41, Train loss 0.5585 , Train Accuracy 0.7202, Test loss 1.4549, Test Accuracy 0.5353
Epoch 42, Train loss 0.5581 , Train Accuracy 0.7207, Test loss 1.1679, Test Accuracy 0.5653
Epoch 43, Train loss 0.5657 , Train Accuracy 0.7033, Test loss 1.3502, Test Accuracy 0.5443
Epoch 44, Train loss 0.5639 , Train Accuracy 0.7131, Test loss 0.9299, Test Accuracy 0.5811
Epoch 45, Train loss 0.5621 , Train Accuracy 0.7180, Test loss 1.0669, Test Accuracy 0.5706
Epoch 46, Train loss 0.5601 , Train Accuracy 0.7158, Test loss 0.9301, Test Accuracy 0.5796
Epoch 47, Train loss 0.5521 , Train Accuracy 0.7229, Test loss 1.1303, Test Accuracy 0.5632
Epoch 48, Train loss 0.5527 , Train Accuracy 0.7109, Test loss 1.3721, Test Accuracy 0.5390
Epoch 49, Train loss 0.5459 , Train Accuracy 0.7240, Test loss 0.9882, Test Accuracy 0.5701
Epoch 50, Train loss 0.5444 , Train Accuracy 0.7202, Test loss 1.2733, Test Accuracy 0.5516
