tuh_downstream_smallset_tflayers12, freeze 12
Epoch 1, Train loss 0.7283 , Train Accuracy 0.5133, Test loss 1.1437, Test Accuracy 0.5000
Epoch 2, Train loss 0.7116 , Train Accuracy 0.5406, Test loss 0.7228, Test Accuracy 0.5348
Epoch 3, Train loss 0.6803 , Train Accuracy 0.5743, Test loss 0.6990, Test Accuracy 0.5580
Epoch 4, Train loss 0.6643 , Train Accuracy 0.5983, Test loss 0.9299, Test Accuracy 0.5100
Epoch 5, Train loss 0.6647 , Train Accuracy 0.6086, Test loss 0.7200, Test Accuracy 0.5516
Epoch 6, Train loss 0.6640 , Train Accuracy 0.6179, Test loss 0.6996, Test Accuracy 0.5659
Epoch 7, Train loss 0.6563 , Train Accuracy 0.6048, Test loss 0.8354, Test Accuracy 0.5348
Epoch 8, Train loss 0.6469 , Train Accuracy 0.6217, Test loss 0.7259, Test Accuracy 0.5680
Epoch 9, Train loss 0.6502 , Train Accuracy 0.6304, Test loss 0.7329, Test Accuracy 0.5706
Epoch 10, Train loss 0.6321 , Train Accuracy 0.6385, Test loss 0.7278, Test Accuracy 0.5732
Epoch 11, Train loss 0.6484 , Train Accuracy 0.6260, Test loss 0.8888, Test Accuracy 0.5369
Epoch 12, Train loss 0.6443 , Train Accuracy 0.6113, Test loss 0.7364, Test Accuracy 0.5796
Epoch 13, Train loss 0.6278 , Train Accuracy 0.6478, Test loss 1.0649, Test Accuracy 0.5184
Epoch 14, Train loss 0.6192 , Train Accuracy 0.6560, Test loss 0.8086, Test Accuracy 0.5632
Epoch 15, Train loss 0.6188 , Train Accuracy 0.6647, Test loss 0.7885, Test Accuracy 0.5806
Epoch 16, Train loss 0.6189 , Train Accuracy 0.6527, Test loss 0.7664, Test Accuracy 0.5643
Epoch 17, Train loss 0.6125 , Train Accuracy 0.6696, Test loss 0.9399, Test Accuracy 0.5453
Epoch 18, Train loss 0.6225 , Train Accuracy 0.6532, Test loss 0.8808, Test Accuracy 0.5590
Epoch 19, Train loss 0.6249 , Train Accuracy 0.6587, Test loss 0.7756, Test Accuracy 0.5727
Epoch 20, Train loss 0.5902 , Train Accuracy 0.6870, Test loss 0.8462, Test Accuracy 0.5722
Epoch 21, Train loss 0.6136 , Train Accuracy 0.6717, Test loss 0.8001, Test Accuracy 0.5738
Epoch 22, Train loss 0.6001 , Train Accuracy 0.6783, Test loss 0.8962, Test Accuracy 0.5653
Epoch 23, Train loss 0.6043 , Train Accuracy 0.6619, Test loss 1.0078, Test Accuracy 0.5574
Epoch 24, Train loss 0.5847 , Train Accuracy 0.6919, Test loss 0.9241, Test Accuracy 0.5643
Epoch 25, Train loss 0.5853 , Train Accuracy 0.6875, Test loss 0.9630, Test Accuracy 0.5674
Epoch 26, Train loss 0.5883 , Train Accuracy 0.6941, Test loss 0.9319, Test Accuracy 0.5695
Epoch 27, Train loss 0.5706 , Train Accuracy 0.6892, Test loss 0.9177, Test Accuracy 0.5774
Epoch 28, Train loss 0.5746 , Train Accuracy 0.7077, Test loss 1.0378, Test Accuracy 0.5674
Epoch 29, Train loss 0.5833 , Train Accuracy 0.6968, Test loss 1.1507, Test Accuracy 0.5569
Epoch 30, Train loss 0.5855 , Train Accuracy 0.6924, Test loss 1.3015, Test Accuracy 0.5358
Epoch 31, Train loss 0.5768 , Train Accuracy 0.6995, Test loss 0.8502, Test Accuracy 0.5848
Epoch 32, Train loss 0.5900 , Train Accuracy 0.6881, Test loss 1.1546, Test Accuracy 0.5590
Epoch 33, Train loss 0.5645 , Train Accuracy 0.7011, Test loss 1.4244, Test Accuracy 0.5295
Epoch 34, Train loss 0.5727 , Train Accuracy 0.6973, Test loss 1.0762, Test Accuracy 0.5564
Epoch 35, Train loss 0.5745 , Train Accuracy 0.7109, Test loss 1.2450, Test Accuracy 0.5511
Epoch 36, Train loss 0.5636 , Train Accuracy 0.7082, Test loss 1.1383, Test Accuracy 0.5553
Epoch 37, Train loss 0.5688 , Train Accuracy 0.7109, Test loss 1.3474, Test Accuracy 0.5406
Epoch 38, Train loss 0.5551 , Train Accuracy 0.7218, Test loss 0.9040, Test Accuracy 0.5817
Epoch 39, Train loss 0.5687 , Train Accuracy 0.6962, Test loss 1.2444, Test Accuracy 0.5553
Epoch 40, Train loss 0.5647 , Train Accuracy 0.7120, Test loss 1.4405, Test Accuracy 0.5427
Epoch 41, Train loss 0.5632 , Train Accuracy 0.7088, Test loss 1.4484, Test Accuracy 0.5364
Epoch 42, Train loss 0.5649 , Train Accuracy 0.7126, Test loss 1.1039, Test Accuracy 0.5706
Epoch 43, Train loss 0.5619 , Train Accuracy 0.7175, Test loss 1.3067, Test Accuracy 0.5516
Epoch 44, Train loss 0.5615 , Train Accuracy 0.7088, Test loss 0.9254, Test Accuracy 0.5864
Epoch 45, Train loss 0.5606 , Train Accuracy 0.7153, Test loss 1.0164, Test Accuracy 0.5706
Epoch 46, Train loss 0.5600 , Train Accuracy 0.7137, Test loss 0.9102, Test Accuracy 0.5806
Epoch 47, Train loss 0.5561 , Train Accuracy 0.7213, Test loss 1.0467, Test Accuracy 0.5669
Epoch 48, Train loss 0.5572 , Train Accuracy 0.7126, Test loss 1.2848, Test Accuracy 0.5501
Epoch 49, Train loss 0.5451 , Train Accuracy 0.7278, Test loss 0.9512, Test Accuracy 0.5796
Epoch 50, Train loss 0.5462 , Train Accuracy 0.7120, Test loss 1.1929, Test Accuracy 0.5627
