tuh_downstream_smallset_tflayers12, freeze 4
Epoch 1, Train loss 0.7283 , Train Accuracy 0.5128, Test loss 1.1413, Test Accuracy 0.5000
Epoch 2, Train loss 0.7110 , Train Accuracy 0.5406, Test loss 0.7193, Test Accuracy 0.5374
Epoch 3, Train loss 0.6794 , Train Accuracy 0.5803, Test loss 0.6969, Test Accuracy 0.5569
Epoch 4, Train loss 0.6636 , Train Accuracy 0.5999, Test loss 0.9146, Test Accuracy 0.5126
Epoch 5, Train loss 0.6630 , Train Accuracy 0.6168, Test loss 0.7018, Test Accuracy 0.5659
Epoch 6, Train loss 0.6638 , Train Accuracy 0.6162, Test loss 0.6934, Test Accuracy 0.5706
Epoch 7, Train loss 0.6533 , Train Accuracy 0.6146, Test loss 0.8282, Test Accuracy 0.5485
Epoch 8, Train loss 0.6459 , Train Accuracy 0.6255, Test loss 0.7205, Test Accuracy 0.5796
Epoch 9, Train loss 0.6463 , Train Accuracy 0.6298, Test loss 0.7386, Test Accuracy 0.5832
Epoch 10, Train loss 0.6272 , Train Accuracy 0.6522, Test loss 0.7303, Test Accuracy 0.5748
Epoch 11, Train loss 0.6424 , Train Accuracy 0.6353, Test loss 0.9490, Test Accuracy 0.5390
Epoch 12, Train loss 0.6406 , Train Accuracy 0.6326, Test loss 0.7438, Test Accuracy 0.5864
Epoch 13, Train loss 0.6199 , Train Accuracy 0.6598, Test loss 1.0951, Test Accuracy 0.5237
Epoch 14, Train loss 0.6130 , Train Accuracy 0.6668, Test loss 0.8510, Test Accuracy 0.5727
Epoch 15, Train loss 0.6113 , Train Accuracy 0.6723, Test loss 0.8015, Test Accuracy 0.5843
Epoch 16, Train loss 0.6101 , Train Accuracy 0.6668, Test loss 0.7642, Test Accuracy 0.5706
Epoch 17, Train loss 0.6028 , Train Accuracy 0.6815, Test loss 0.9487, Test Accuracy 0.5727
Epoch 18, Train loss 0.6169 , Train Accuracy 0.6570, Test loss 1.0117, Test Accuracy 0.5748
Epoch 19, Train loss 0.6172 , Train Accuracy 0.6592, Test loss 0.7807, Test Accuracy 0.5843
Epoch 20, Train loss 0.5806 , Train Accuracy 0.6854, Test loss 0.8756, Test Accuracy 0.5896
Epoch 21, Train loss 0.6025 , Train Accuracy 0.6832, Test loss 0.7953, Test Accuracy 0.5827
Epoch 22, Train loss 0.5935 , Train Accuracy 0.6864, Test loss 0.9705, Test Accuracy 0.5706
Epoch 23, Train loss 0.5941 , Train Accuracy 0.6805, Test loss 1.0839, Test Accuracy 0.5722
Epoch 24, Train loss 0.5781 , Train Accuracy 0.7028, Test loss 0.9644, Test Accuracy 0.5717
Epoch 25, Train loss 0.5764 , Train Accuracy 0.6848, Test loss 1.0774, Test Accuracy 0.5706
Epoch 26, Train loss 0.5786 , Train Accuracy 0.7022, Test loss 1.0334, Test Accuracy 0.5722
Epoch 27, Train loss 0.5563 , Train Accuracy 0.7050, Test loss 1.0297, Test Accuracy 0.5774
Epoch 28, Train loss 0.5633 , Train Accuracy 0.7175, Test loss 1.1163, Test Accuracy 0.5722
Epoch 29, Train loss 0.5779 , Train Accuracy 0.6962, Test loss 1.2686, Test Accuracy 0.5558
Epoch 30, Train loss 0.5738 , Train Accuracy 0.6968, Test loss 1.3831, Test Accuracy 0.5448
Epoch 31, Train loss 0.5641 , Train Accuracy 0.6984, Test loss 0.8682, Test Accuracy 0.5927
Epoch 32, Train loss 0.5811 , Train Accuracy 0.6973, Test loss 1.2021, Test Accuracy 0.5732
Epoch 33, Train loss 0.5527 , Train Accuracy 0.7115, Test loss 1.5509, Test Accuracy 0.5327
Epoch 34, Train loss 0.5658 , Train Accuracy 0.7039, Test loss 1.1393, Test Accuracy 0.5743
Epoch 35, Train loss 0.5600 , Train Accuracy 0.7186, Test loss 1.2891, Test Accuracy 0.5669
Epoch 36, Train loss 0.5535 , Train Accuracy 0.7197, Test loss 1.2377, Test Accuracy 0.5695
Epoch 37, Train loss 0.5651 , Train Accuracy 0.7126, Test loss 1.4307, Test Accuracy 0.5443
Epoch 38, Train loss 0.5453 , Train Accuracy 0.7327, Test loss 0.9227, Test Accuracy 0.5948
Epoch 39, Train loss 0.5594 , Train Accuracy 0.7071, Test loss 1.2872, Test Accuracy 0.5674
Epoch 40, Train loss 0.5523 , Train Accuracy 0.7240, Test loss 1.4535, Test Accuracy 0.5501
Epoch 41, Train loss 0.5477 , Train Accuracy 0.7218, Test loss 1.5687, Test Accuracy 0.5406
Epoch 42, Train loss 0.5489 , Train Accuracy 0.7278, Test loss 1.1952, Test Accuracy 0.5753
Epoch 43, Train loss 0.5541 , Train Accuracy 0.7158, Test loss 1.3879, Test Accuracy 0.5527
Epoch 44, Train loss 0.5559 , Train Accuracy 0.7148, Test loss 0.9846, Test Accuracy 0.5832
Epoch 45, Train loss 0.5533 , Train Accuracy 0.7246, Test loss 1.0761, Test Accuracy 0.5790
Epoch 46, Train loss 0.5461 , Train Accuracy 0.7273, Test loss 0.9712, Test Accuracy 0.5875
Epoch 47, Train loss 0.5453 , Train Accuracy 0.7224, Test loss 1.1594, Test Accuracy 0.5680
Epoch 48, Train loss 0.5411 , Train Accuracy 0.7218, Test loss 1.3919, Test Accuracy 0.5564
Epoch 49, Train loss 0.5325 , Train Accuracy 0.7316, Test loss 1.0168, Test Accuracy 0.5790
Epoch 50, Train loss 0.5326 , Train Accuracy 0.7251, Test loss 1.2889, Test Accuracy 0.5664
