tuh_downstream_smallset_tflayers8, freeze 0
Epoch 1, Train loss 0.7301 , Train Accuracy 0.5139, Test loss 0.9155, Test Accuracy 0.5026
Epoch 2, Train loss 0.6991 , Train Accuracy 0.5384, Test loss 0.6795, Test Accuracy 0.5796
Epoch 3, Train loss 0.6738 , Train Accuracy 0.5825, Test loss 0.6930, Test Accuracy 0.5901
Epoch 4, Train loss 0.6599 , Train Accuracy 0.5983, Test loss 1.0128, Test Accuracy 0.5000
Epoch 5, Train loss 0.6517 , Train Accuracy 0.6135, Test loss 0.7481, Test Accuracy 0.5711
Epoch 6, Train loss 0.6491 , Train Accuracy 0.6244, Test loss 0.7383, Test Accuracy 0.5801
Epoch 7, Train loss 0.6325 , Train Accuracy 0.6179, Test loss 0.9577, Test Accuracy 0.5258
Epoch 8, Train loss 0.6247 , Train Accuracy 0.6434, Test loss 0.7989, Test Accuracy 0.5806
Epoch 9, Train loss 0.6196 , Train Accuracy 0.6391, Test loss 0.8024, Test Accuracy 0.5785
Epoch 10, Train loss 0.6085 , Train Accuracy 0.6609, Test loss 0.8918, Test Accuracy 0.5653
Epoch 11, Train loss 0.6294 , Train Accuracy 0.6385, Test loss 0.8615, Test Accuracy 0.5695
Epoch 12, Train loss 0.6155 , Train Accuracy 0.6549, Test loss 0.8180, Test Accuracy 0.5748
Epoch 13, Train loss 0.5965 , Train Accuracy 0.6728, Test loss 1.0002, Test Accuracy 0.5469
Epoch 14, Train loss 0.6167 , Train Accuracy 0.6424, Test loss 0.8826, Test Accuracy 0.5590
Epoch 15, Train loss 0.5926 , Train Accuracy 0.6810, Test loss 0.8386, Test Accuracy 0.5659
Epoch 16, Train loss 0.5741 , Train Accuracy 0.6913, Test loss 0.8340, Test Accuracy 0.5622
Epoch 17, Train loss 0.5776 , Train Accuracy 0.6870, Test loss 1.0366, Test Accuracy 0.5537
Epoch 18, Train loss 0.5716 , Train Accuracy 0.6903, Test loss 1.1144, Test Accuracy 0.5448
Epoch 19, Train loss 0.5627 , Train Accuracy 0.6979, Test loss 0.9239, Test Accuracy 0.5553
Epoch 20, Train loss 0.5423 , Train Accuracy 0.7202, Test loss 1.0435, Test Accuracy 0.5464
Epoch 21, Train loss 0.5471 , Train Accuracy 0.7148, Test loss 0.9724, Test Accuracy 0.5506
Epoch 22, Train loss 0.5263 , Train Accuracy 0.7278, Test loss 1.1031, Test Accuracy 0.5406
Epoch 23, Train loss 0.5405 , Train Accuracy 0.7197, Test loss 1.0733, Test Accuracy 0.5458
Epoch 24, Train loss 0.5222 , Train Accuracy 0.7300, Test loss 1.0735, Test Accuracy 0.5427
Epoch 25, Train loss 0.5169 , Train Accuracy 0.7382, Test loss 1.2194, Test Accuracy 0.5432
Epoch 26, Train loss 0.5199 , Train Accuracy 0.7360, Test loss 1.0679, Test Accuracy 0.5411
Epoch 27, Train loss 0.5018 , Train Accuracy 0.7496, Test loss 1.1709, Test Accuracy 0.5385
Epoch 28, Train loss 0.5023 , Train Accuracy 0.7447, Test loss 1.3539, Test Accuracy 0.5406
Epoch 29, Train loss 0.4980 , Train Accuracy 0.7441, Test loss 1.3598, Test Accuracy 0.5364
Epoch 30, Train loss 0.4852 , Train Accuracy 0.7665, Test loss 1.4427, Test Accuracy 0.5385
Epoch 31, Train loss 0.4781 , Train Accuracy 0.7725, Test loss 1.1576, Test Accuracy 0.5342
Epoch 32, Train loss 0.4842 , Train Accuracy 0.7643, Test loss 1.3192, Test Accuracy 0.5411
Epoch 33, Train loss 0.4808 , Train Accuracy 0.7627, Test loss 1.4633, Test Accuracy 0.5411
Epoch 34, Train loss 0.4854 , Train Accuracy 0.7686, Test loss 1.1986, Test Accuracy 0.5379
Epoch 35, Train loss 0.4685 , Train Accuracy 0.7676, Test loss 1.6289, Test Accuracy 0.5364
Epoch 36, Train loss 0.4626 , Train Accuracy 0.7888, Test loss 1.6157, Test Accuracy 0.5321
Epoch 37, Train loss 0.4716 , Train Accuracy 0.7752, Test loss 1.5717, Test Accuracy 0.5300
Epoch 38, Train loss 0.4570 , Train Accuracy 0.7774, Test loss 1.2888, Test Accuracy 0.5169
Epoch 39, Train loss 0.4685 , Train Accuracy 0.7735, Test loss 1.4929, Test Accuracy 0.5269
Epoch 40, Train loss 0.4336 , Train Accuracy 0.7921, Test loss 1.8109, Test Accuracy 0.5274
Epoch 41, Train loss 0.4407 , Train Accuracy 0.7964, Test loss 1.7820, Test Accuracy 0.5290
Epoch 42, Train loss 0.4486 , Train Accuracy 0.7866, Test loss 1.4373, Test Accuracy 0.5137
Epoch 43, Train loss 0.4347 , Train Accuracy 0.7937, Test loss 1.6003, Test Accuracy 0.5232
Epoch 44, Train loss 0.4186 , Train Accuracy 0.8013, Test loss 1.4112, Test Accuracy 0.5074
Epoch 45, Train loss 0.4288 , Train Accuracy 0.8019, Test loss 1.4774, Test Accuracy 0.5090
Epoch 46, Train loss 0.4344 , Train Accuracy 0.7942, Test loss 1.5349, Test Accuracy 0.5042
Epoch 47, Train loss 0.4404 , Train Accuracy 0.7893, Test loss 1.5788, Test Accuracy 0.5005
Epoch 48, Train loss 0.4176 , Train Accuracy 0.8100, Test loss 1.8834, Test Accuracy 0.5163
Epoch 49, Train loss 0.4137 , Train Accuracy 0.8084, Test loss 1.7292, Test Accuracy 0.5158
Epoch 50, Train loss 0.4137 , Train Accuracy 0.8176, Test loss 1.8479, Test Accuracy 0.5158
