tuh_downstream_smallset_tflayers16, freeze 12
Epoch 1, Train loss 0.7110 , Train Accuracy 0.5531, Test loss 0.9709, Test Accuracy 0.5032
Epoch 2, Train loss 0.6797 , Train Accuracy 0.5700, Test loss 0.7704, Test Accuracy 0.4758
Epoch 3, Train loss 0.6429 , Train Accuracy 0.6413, Test loss 0.7793, Test Accuracy 0.4963
Epoch 4, Train loss 0.5993 , Train Accuracy 0.6636, Test loss 0.9832, Test Accuracy 0.5395
Epoch 5, Train loss 0.5849 , Train Accuracy 0.6952, Test loss 0.8746, Test Accuracy 0.5395
Epoch 6, Train loss 0.5811 , Train Accuracy 0.6843, Test loss 0.8806, Test Accuracy 0.5427
Epoch 7, Train loss 0.5573 , Train Accuracy 0.7077, Test loss 1.0518, Test Accuracy 0.5474
Epoch 8, Train loss 0.5549 , Train Accuracy 0.7120, Test loss 0.9642, Test Accuracy 0.5479
Epoch 9, Train loss 0.5503 , Train Accuracy 0.7142, Test loss 1.0425, Test Accuracy 0.5574
Epoch 10, Train loss 0.5350 , Train Accuracy 0.7240, Test loss 1.0320, Test Accuracy 0.5469
Epoch 11, Train loss 0.5225 , Train Accuracy 0.7431, Test loss 1.2719, Test Accuracy 0.5501
Epoch 12, Train loss 0.5256 , Train Accuracy 0.7409, Test loss 1.0442, Test Accuracy 0.5506
Epoch 13, Train loss 0.5142 , Train Accuracy 0.7387, Test loss 1.2937, Test Accuracy 0.5479
Epoch 14, Train loss 0.5070 , Train Accuracy 0.7572, Test loss 1.1081, Test Accuracy 0.5416
Epoch 15, Train loss 0.5032 , Train Accuracy 0.7425, Test loss 1.0712, Test Accuracy 0.5427
Epoch 16, Train loss 0.4985 , Train Accuracy 0.7578, Test loss 1.0349, Test Accuracy 0.5353
Epoch 17, Train loss 0.5005 , Train Accuracy 0.7512, Test loss 1.3276, Test Accuracy 0.5416
Epoch 18, Train loss 0.4935 , Train Accuracy 0.7507, Test loss 1.1894, Test Accuracy 0.5364
Epoch 19, Train loss 0.4862 , Train Accuracy 0.7637, Test loss 1.1241, Test Accuracy 0.5369
Epoch 20, Train loss 0.4681 , Train Accuracy 0.7784, Test loss 1.1962, Test Accuracy 0.5421
Epoch 21, Train loss 0.4807 , Train Accuracy 0.7708, Test loss 1.1364, Test Accuracy 0.5374
Epoch 22, Train loss 0.4655 , Train Accuracy 0.7774, Test loss 1.1912, Test Accuracy 0.5353
Epoch 23, Train loss 0.4680 , Train Accuracy 0.7855, Test loss 1.3333, Test Accuracy 0.5316
Epoch 24, Train loss 0.4642 , Train Accuracy 0.7872, Test loss 1.2907, Test Accuracy 0.5205
Epoch 25, Train loss 0.4544 , Train Accuracy 0.7953, Test loss 1.3278, Test Accuracy 0.5285
Epoch 26, Train loss 0.4493 , Train Accuracy 0.7931, Test loss 1.1704, Test Accuracy 0.5379
Epoch 27, Train loss 0.4341 , Train Accuracy 0.7986, Test loss 1.2248, Test Accuracy 0.5311
Epoch 28, Train loss 0.4348 , Train Accuracy 0.8095, Test loss 1.3452, Test Accuracy 0.5279
Epoch 29, Train loss 0.4339 , Train Accuracy 0.8111, Test loss 1.3664, Test Accuracy 0.5258
Epoch 30, Train loss 0.4284 , Train Accuracy 0.7986, Test loss 1.5513, Test Accuracy 0.5269
Epoch 31, Train loss 0.4154 , Train Accuracy 0.8160, Test loss 1.2265, Test Accuracy 0.5300
Epoch 32, Train loss 0.4335 , Train Accuracy 0.8100, Test loss 1.4351, Test Accuracy 0.5179
Epoch 33, Train loss 0.4159 , Train Accuracy 0.8084, Test loss 1.5355, Test Accuracy 0.5163
Epoch 34, Train loss 0.4125 , Train Accuracy 0.8078, Test loss 1.3634, Test Accuracy 0.5121
Epoch 35, Train loss 0.4129 , Train Accuracy 0.8307, Test loss 1.5667, Test Accuracy 0.5163
Epoch 36, Train loss 0.4093 , Train Accuracy 0.8116, Test loss 1.5652, Test Accuracy 0.5132
Epoch 37, Train loss 0.4012 , Train Accuracy 0.8236, Test loss 1.4702, Test Accuracy 0.5074
Epoch 38, Train loss 0.4006 , Train Accuracy 0.8225, Test loss 1.3881, Test Accuracy 0.5058
Epoch 39, Train loss 0.4023 , Train Accuracy 0.8247, Test loss 1.5674, Test Accuracy 0.5037
Epoch 40, Train loss 0.3874 , Train Accuracy 0.8318, Test loss 1.6803, Test Accuracy 0.5100
Epoch 41, Train loss 0.3825 , Train Accuracy 0.8274, Test loss 1.9089, Test Accuracy 0.5121
Epoch 42, Train loss 0.4006 , Train Accuracy 0.8209, Test loss 1.4138, Test Accuracy 0.5053
Epoch 43, Train loss 0.3838 , Train Accuracy 0.8351, Test loss 1.7021, Test Accuracy 0.5016
Epoch 44, Train loss 0.3821 , Train Accuracy 0.8361, Test loss 1.4117, Test Accuracy 0.4979
Epoch 45, Train loss 0.3869 , Train Accuracy 0.8394, Test loss 1.5719, Test Accuracy 0.4974
Epoch 46, Train loss 0.3794 , Train Accuracy 0.8421, Test loss 1.3997, Test Accuracy 0.5148
Epoch 47, Train loss 0.3713 , Train Accuracy 0.8432, Test loss 1.6112, Test Accuracy 0.4932
Epoch 48, Train loss 0.3756 , Train Accuracy 0.8356, Test loss 1.7529, Test Accuracy 0.4974
Epoch 49, Train loss 0.3779 , Train Accuracy 0.8367, Test loss 1.5466, Test Accuracy 0.4905
Epoch 50, Train loss 0.3721 , Train Accuracy 0.8367, Test loss 1.7688, Test Accuracy 0.4979
